"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Mark Udall (D)";"Mark Udall>Jared Polis>Politics>Anarchism";"Mark Udall>Alex Wagner>Antisemitism";"Mark Udall>Jimmy Carter>Capitalism";"Mark Udall>Colorado>African Americans>Christianity";"Mark Udall>Jimmy Carter>Communism";"Mark Udall>Republican Party (United States)>Conservatism";"Mark Udall>Colorado>Abraham Lincoln>Democracy";"Mark Udall>Jimmy Carter>Fascism";"Mark Udall>Colorado>History of The Church of Jesus Christ of Latter-day Saints>Feminism";"Mark Udall>Women's rights>Islamophobia";"Mark Udall>Trade union>Left-wing politics";"Mark Udall>Trade union>Liberalism";"Mark Udall>Trade union>Marxism";"Mark Udall>Colorado>Abraham Lincoln>Nationalism";"Mark Udall>Jared Polis>Lone wolf (terrorism)>Neo-Nazism";"Mark Udall>Colorado>California>Protestantism";"Mark Udall>The Washington Times>Right-wing politics";"Mark Udall>Trade union>Secularism";"Mark Udall>Trade union>Socialism";"Mark Udall>Jimmy Carter>White supremacy"
"Michael Bennet (D)";"Michael Bennet>Ken Salazar>Chicago>Anarchism";"Michael Bennet>Franklin D. Roosevelt>Antisemitism";"Michael Bennet>Jimmy Carter>Capitalism";"Michael Bennet>Colorado>African Americans>Christianity";"Michael Bennet>Hubert Humphrey>Communism";"Michael Bennet>Republican Party (United States)>Conservatism";"Michael Bennet>India>Democracy";"Michael Bennet>Jimmy Carter>Fascism";"Michael Bennet>Colorado>History of The Church of Jesus Christ of Latter-day Saints>Feminism";"Michael Bennet>Colorado>Universal suffrage>Islamophobia";"Michael Bennet>Ken Salazar>University of Michigan>Left-wing politics";"Michael Bennet>Hubert Humphrey>Liberalism";"Michael Bennet>Colorado>History of The Church of Jesus Christ of Latter-day Saints>Marxism";"Michael Bennet>Colorado>Abraham Lincoln>Nationalism";"Michael Bennet>Democratic Party (United States)>White supremacy>Neo-Nazism";"Michael Bennet>Montana>Protestantism";"Michael Bennet>India>Right-wing politics";"Michael Bennet>India>Secularism";"Michael Bennet>Montana>Socialism";"Michael Bennet>Jimmy Carter>White supremacy"
"Richard Blumenthal (D)";"Richard Blumenthal>Libertarian Party (United States)>Anarchism";"Richard Blumenthal>The New York Times>Antisemitism";"Richard Blumenthal>Jimmy Carter>Capitalism";"Richard Blumenthal>Connecticut>African Americans>Christianity";"Richard Blumenthal>Jimmy Carter>Communism";"Richard Blumenthal>Republican Party (United States)>Conservatism";"Richard Blumenthal>Connecticut>American Revolution>Democracy";"Richard Blumenthal>Jimmy Carter>Fascism";"Richard Blumenthal>Connecticut>Hartford, Connecticut>Feminism";"Richard Blumenthal>Connecticut>Muslim>Islamophobia";"Richard Blumenthal>Connecticut>World War II>Left-wing politics";"Richard Blumenthal>Connecticut>New Jersey>Liberalism";"Richard Blumenthal>Connecticut>Industrial Revolution>Marxism";"Richard Blumenthal>Connecticut>World War II>Nationalism";"Richard Blumenthal>Jimmy Carter>Ku Klux Klan>Neo-Nazism";"Richard Blumenthal>England>Protestantism";"Richard Blumenthal>Republican Party (United States)>Right-wing politics";"Richard Blumenthal>Connecticut>American Revolution>Secularism";"Richard Blumenthal>Connecticut>Industrial Revolution>Socialism";"Richard Blumenthal>Jimmy Carter>White supremacy"
"Tom Carper (D)";"Tom Carper>Delaware>Libertarian Party (United States)>Anarchism";"Tom Carper>The New York Times>Antisemitism";"Tom Carper>George H. W. Bush>Capitalism";"Tom Carper>Delaware>African Americans>Christianity";"Tom Carper>George H. W. Bush>Communism";"Tom Carper>Republican Party (United States)>Conservatism";"Tom Carper>Executive (government)>Democracy";"Tom Carper>George H. W. Bush>Fascism";"Tom Carper>Delaware>Racial segregation>Feminism";"Tom Carper>Delaware>Muslim>Islamophobia";"Tom Carper>Free trade>Left-wing politics";"Tom Carper>Delaware>New Jersey>Liberalism";"Tom Carper>Delaware>Trade union>Marxism";"Tom Carper>Bill Roth (politician)>World War II>Nationalism";"Tom Carper>Barbara Boxer>Bashar al-Assad>Neo-Nazism";"Tom Carper>Delaware>Protestantism";"Tom Carper>Republican Party (United States)>Right-wing politics";"Tom Carper>Free trade>Secularism";"Tom Carper>Delaware>Trade union>Socialism";"Tom Carper>George H. W. Bush>White supremacy"
"Chris Coons (D)";"Chris Coons>Ethics>Anarchism";"Chris Coons>Delaware>Racial segregation>Antisemitism";"Chris Coons>Ronald Reagan>Capitalism";"Chris Coons>Delaware>African Americans>Christianity";"Chris Coons>Tom Carper>George H. W. Bush>Communism";"Chris Coons>Ethics>Conservatism";"Chris Coons>Political science>Democracy";"Chris Coons>Ronald Reagan>Fascism";"Chris Coons>Delta Kappa Epsilon>Feminism";"Chris Coons>Delaware>Muslim>Islamophobia";"Chris Coons>Ronald Reagan>Left-wing politics";"Chris Coons>Christine O'Donnell>Liberalism";"Chris Coons>Ethics>Marxism";"Chris Coons>Ted Kaufman>Afghanistan>Nationalism";"Chris Coons>Barbara Boxer>Bashar al-Assad>Neo-Nazism";"Chris Coons>Delaware>Protestantism";"Chris Coons>Ronald Reagan>Right-wing politics";"Chris Coons>Delaware>American Revolution>Secularism";"Chris Coons>Ethics>Socialism";"Chris Coons>Ronald Reagan>White supremacy"
"Bill Nelson (politician) (D)";"Bill Nelson>Marco Rubio>Ukraine>Anarchism";"Bill Nelson>Florida>Franklin D. Roosevelt>Antisemitism";"Bill Nelson>Afghanistan>Capitalism";"Bill Nelson>Florida>Alabama>Christianity";"Bill Nelson>Afghanistan>Communism";"Bill Nelson>Supreme Court of the United States>Conservatism";"Bill Nelson>Florida>James Madison>Democracy";"Bill Nelson>Afghanistan>Fascism";"Bill Nelson>LGBT in Islam>Feminism";"Bill Nelson>LGBT in Islam>Islamophobia";"Bill Nelson>Marco Rubio>Right-wing politics>Left-wing politics";"Bill Nelson>Supreme Court of the United States>Liberalism";"Bill Nelson>Florida>Fidel Castro>Marxism";"Bill Nelson>Afghanistan>Nationalism";"Bill Nelson>Marco Rubio>Bashar al-Assad>Neo-Nazism";"Bill Nelson>Florida>California>Protestantism";"Bill Nelson>Muslim Brotherhood>Right-wing politics";"Bill Nelson>Jihad>Secularism";"Bill Nelson>Florida>James Madison>Socialism";"Bill Nelson>Afghanistan>White supremacy"
"Marco Rubio (R)";"Marco Rubio>Ukraine>Anarchism";"Marco Rubio>The New York Times>Antisemitism";"Marco Rubio>Afghanistan>Capitalism";"Marco Rubio>The Church of Jesus Christ of Latter-day Saints>Christianity";"Marco Rubio>Afghanistan>Communism";"Marco Rubio>Republican Party (United States)>Conservatism";"Marco Rubio>Political science>Democracy";"Marco Rubio>Afghanistan>Fascism";"Marco Rubio>Right-wing politics>Feminism";"Marco Rubio>The New York Times>Antisemitism>Islamophobia";"Marco Rubio>Right-wing politics>Left-wing politics";"Marco Rubio>Human rights>Liberalism";"Marco Rubio>China>Marxism";"Marco Rubio>Afghanistan>Nationalism";"Marco Rubio>Bashar al-Assad>Neo-Nazism";"Marco Rubio>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Marco Rubio>Republican Party (United States)>Right-wing politics";"Marco Rubio>Human rights>Secularism";"Marco Rubio>China>Socialism";"Marco Rubio>Afghanistan>White supremacy"
"Saxby Chambliss (R)";"Saxby Chambliss>Conservatism>Anarchism";"Saxby Chambliss>Conservatism>Antisemitism";"Saxby Chambliss>Conservatism>Capitalism";"Saxby Chambliss>Georgia (U.S. state)>Alabama>Christianity";"Saxby Chambliss>American Civil Liberties Union>Communism";"Saxby Chambliss>Republican Party (United States)>Conservatism";"Saxby Chambliss>Conservatism>Democracy";"Saxby Chambliss>Conservatism>Fascism";"Saxby Chambliss>Conservatism>Feminism";"Saxby Chambliss>Muslim>Islamophobia";"Saxby Chambliss>Conservatism>Left-wing politics";"Saxby Chambliss>Conservatism>Liberalism";"Saxby Chambliss>Georgia (U.S. state)>Soviet Union>Marxism";"Saxby Chambliss>Conservatism>Nationalism";"Saxby Chambliss>American Civil Liberties Union>Neo-Nazism";"Saxby Chambliss>Georgia (U.S. state)>Hindu>Protestantism";"Saxby Chambliss>Conservatism>Right-wing politics";"Saxby Chambliss>Conservatism>Secularism";"Saxby Chambliss>Conservatism>Socialism";"Saxby Chambliss>Louisiana>White supremacy"
"Johnny Isakson (R)";"Johnny Isakson>Libertarian Party (United States)>Anarchism";"Johnny Isakson>Georgia (U.S. state)>Synagogue>Antisemitism";"Johnny Isakson>George H. W. Bush>Capitalism";"Johnny Isakson>Georgia (U.S. state)>Alabama>Christianity";"Johnny Isakson>George H. W. Bush>Communism";"Johnny Isakson>Republican Party (United States)>Conservatism";"Johnny Isakson>Georgia (U.S. state)>American Revolution>Democracy";"Johnny Isakson>George H. W. Bush>Fascism";"Johnny Isakson>Georgia (U.S. state)>Alice Walker>Feminism";"Johnny Isakson>Georgia (U.S. state)>Southern Company>Islamophobia";"Johnny Isakson>Ronald Reagan>Left-wing politics";"Johnny Isakson>Georgia (U.S. state)>American Revolution>Liberalism";"Johnny Isakson>Georgia (U.S. state)>Soviet Union>Marxism";"Johnny Isakson>Bernie Sanders>Thomas Jefferson>Nationalism";"Johnny Isakson>Bernie Sanders>Noam Chomsky>Neo-Nazism";"Johnny Isakson>Georgia (U.S. state)>Hindu>Protestantism";"Johnny Isakson>Ronald Reagan>Right-wing politics";"Johnny Isakson>Georgia (U.S. state)>American Revolution>Secularism";"Johnny Isakson>Bernie Sanders>John Dewey>Socialism";"Johnny Isakson>George H. W. Bush>White supremacy"
"Daniel Akaka (D)";"Daniel Akaka>Hawaii>Confucianism>Anarchism";"Daniel Akaka>The New York Times>Antisemitism";"Daniel Akaka>Hawaii>Korea>Capitalism";"Daniel Akaka>Hawaii>Alaska>Christianity";"Daniel Akaka>Hawaii>Dwight D. Eisenhower>Communism";"Daniel Akaka>Hawaii>Confucianism>Conservatism";"Daniel Akaka>Sovereignty>Democracy";"Daniel Akaka>Hawaii>Confucianism>Fascism";"Daniel Akaka>Patsy Mink>Racial segregation>Feminism";"Daniel Akaka>Hawaii>Muslim>Islamophobia";"Daniel Akaka>World War II>Left-wing politics";"Daniel Akaka>Hawaii>New Jersey>Liberalism";"Daniel Akaka>China>Marxism";"Daniel Akaka>World War II>Nationalism";"Daniel Akaka>United States>Henry Ford>Neo-Nazism";"Daniel Akaka>Hawaii>California>Protestantism";"Daniel Akaka>World War II>Right-wing politics";"Daniel Akaka>Hawaii>Bahá'í Faith>Secularism";"Daniel Akaka>China>Socialism";"Daniel Akaka>Hawaii>Lyndon B. Johnson>White supremacy"
"Daniel Inouye (D)";"Daniel Inouye>Hardcore punk>Anarchism";"Daniel Inouye>Robert Byrd>Ku Klux Klan>Antisemitism";"Daniel Inouye>Italy>Capitalism";"Daniel Inouye>United States Senate Committee on Appropriations>Alaska>Christianity";"Daniel Inouye>Thompson submachine gun>Communism";"Daniel Inouye>Republican Party (United States)>Conservatism";"Daniel Inouye>Italy>Democracy";"Daniel Inouye>Republican Party (United States)>Fascism";"Daniel Inouye>Robert Byrd>Racial segregation>Feminism";"Daniel Inouye>Robert Byrd>Ku Klux Klan>Islamophobia";"Daniel Inouye>Hardcore punk>Left-wing politics";"Daniel Inouye>President pro tempore of the United States Senate>Hubert Humphrey>Liberalism";"Daniel Inouye>Robert Byrd>Deng Xiaoping>Marxism";"Daniel Inouye>World War II>Nationalism";"Daniel Inouye>Robert Byrd>Ku Klux Klan>Neo-Nazism";"Daniel Inouye>Robert Byrd>Ku Klux Klan>Protestantism";"Daniel Inouye>Republican Party (United States)>Right-wing politics";"Daniel Inouye>Robert Byrd>Jesse Helms>Secularism";"Daniel Inouye>Robert Byrd>Montana>Socialism";"Daniel Inouye>President pro tempore of the United States Senate>Andrew Johnson>White supremacy"
"Brian Schatz (D)";"Brian Schatz>Hawaii>Confucianism>Anarchism";"Brian Schatz>The New York Times>Antisemitism";"Brian Schatz>Hawaii>Korea>Capitalism";"Brian Schatz>Hawaii>Alaska>Christianity";"Brian Schatz>Hawaii>Dwight D. Eisenhower>Communism";"Brian Schatz>Hawaii>Confucianism>Conservatism";"Brian Schatz>Hawaii>Portugal>Democracy";"Brian Schatz>Hawaii>Confucianism>Fascism";"Brian Schatz>Democratic Party of Hawaii>Egalitarianism>Feminism";"Brian Schatz>Hawaii>Muslim>Islamophobia";"Brian Schatz>Hawaii>World War II>Left-wing politics";"Brian Schatz>Hawaii>New Jersey>Liberalism";"Brian Schatz>Hawaii>China>Marxism";"Brian Schatz>Hawaii>World War II>Nationalism";"Brian Schatz>Michigan>Henry Ford>Neo-Nazism";"Brian Schatz>Hawaii>California>Protestantism";"Brian Schatz>Hawaii>World War II>Right-wing politics";"Brian Schatz>Hawaii>Bahá'í Faith>Secularism";"Brian Schatz>Hawaii>Portugal>Socialism";"Brian Schatz>Hawaii>Lyndon B. Johnson>White supremacy"
"Jim Risch (R)";"Jim Risch>Idaho>New Age>Anarchism";"Jim Risch>Idaho>Judaism>Antisemitism";"Jim Risch>Idaho>British Columbia>Capitalism";"Jim Risch>Idaho>British Columbia>Christianity";"Jim Risch>David Vitter>Adultery>Communism";"Jim Risch>Republican Party (United States)>Conservatism";"Jim Risch>Idaho>New Age>Democracy";"Jim Risch>North Korea>Fascism";"Jim Risch>Idaho>New Age>Feminism";"Jim Risch>Larry Craig>Hate crime>Islamophobia";"Jim Risch>Idaho>British Columbia>Left-wing politics";"Jim Risch>Idaho>New Age>Liberalism";"Jim Risch>Milwaukee>City>Marxism";"Jim Risch>Idaho>Judaism>Nationalism";"Jim Risch>Idaho>Sandpoint, Idaho>Neo-Nazism";"Jim Risch>Idaho>Montana>Protestantism";"Jim Risch>Republican Party (United States)>Right-wing politics";"Jim Risch>Idaho>United Kingdom>Secularism";"Jim Risch>North Korea>Socialism";"Jim Risch>Idaho>Sandpoint, Idaho>White supremacy"
"Mike Crapo (R)";"Mike Crapo>Idaho>New Age>Anarchism";"Mike Crapo>Idaho>Judaism>Antisemitism";"Mike Crapo>Idaho>British Columbia>Capitalism";"Mike Crapo>The Church of Jesus Christ of Latter-day Saints>Christianity";"Mike Crapo>Dirk Kempthorne>Jimmy Carter>Communism";"Mike Crapo>Republican Party (United States)>Conservatism";"Mike Crapo>Political science>Democracy";"Mike Crapo>Republican Party (United States)>Fascism";"Mike Crapo>Idaho>New Age>Feminism";"Mike Crapo>Richard Shelby>Al-Qaeda>Islamophobia";"Mike Crapo>Idaho>British Columbia>Left-wing politics";"Mike Crapo>Idaho>New Age>Liberalism";"Mike Crapo>Richard Shelby>Al-Qaeda>Marxism";"Mike Crapo>Idaho>Judaism>Nationalism";"Mike Crapo>Idaho>Sandpoint, Idaho>Neo-Nazism";"Mike Crapo>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Mike Crapo>Republican Party (United States)>Right-wing politics";"Mike Crapo>Idaho>United Kingdom>Secularism";"Mike Crapo>Idaho>Montana>Socialism";"Mike Crapo>Idaho>Sandpoint, Idaho>White supremacy"
"Dick Durbin (D)";"Dick Durbin>Pol Pot>Anarchism";"Dick Durbin>Genocide>Antisemitism";"Dick Durbin>Pol Pot>Capitalism";"Dick Durbin>Harry Reid>The Church of Jesus Christ of Latter-day Saints>Christianity";"Dick Durbin>Treason>Communism";"Dick Durbin>Nazi Germany>Conservatism";"Dick Durbin>Chuck Schumer>Colin Powell>Democracy";"Dick Durbin>Nazi Germany>Fascism";"Dick Durbin>Roe v. Wade>Feminism";"Dick Durbin>Genocide>Islamophobia";"Dick Durbin>Palestine Liberation Organization>Left-wing politics";"Dick Durbin>Party leaders of the United States Senate>Political party>Liberalism";"Dick Durbin>Khmer Rouge>Marxism";"Dick Durbin>Nazi Germany>Nationalism";"Dick Durbin>Nazi Germany>Neo-Nazism";"Dick Durbin>Harry Reid>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Dick Durbin>The Washington Times>Right-wing politics";"Dick Durbin>Palestine Liberation Organization>Secularism";"Dick Durbin>John Cornyn>Journalism>Socialism";"Dick Durbin>Genocide>White supremacy"
"Mark Kirk (R)";"Mark Kirk>Chicago>Anarchism";"Mark Kirk>Al-Qaeda>Antisemitism";"Mark Kirk>Illinois>Ronald Reagan>Capitalism";"Mark Kirk>Illinois>Bible>Christianity";"Mark Kirk>Illinois>Eastern Europe>Communism";"Mark Kirk>Republican Party (United States)>Conservatism";"Mark Kirk>Illinois>Abraham Lincoln>Democracy";"Mark Kirk>Republican Party (United States)>Fascism";"Mark Kirk>Illinois>Age of consent>Feminism";"Mark Kirk>Al-Qaeda>Islamophobia";"Mark Kirk>Illinois>Ronald Reagan>Left-wing politics";"Mark Kirk>Republican Party (United States)>Two-party system>Liberalism";"Mark Kirk>Al-Qaeda>Marxism";"Mark Kirk>Illinois>Abraham Lincoln>Nationalism";"Mark Kirk>Hamas>Neo-Nazism";"Mark Kirk>Illinois>California>Protestantism";"Mark Kirk>Republican Party (United States)>Right-wing politics";"Mark Kirk>Illinois>Missionary>Secularism";"Mark Kirk>Illinois>Age of consent>Socialism";"Mark Kirk>Illinois>Abraham Lincoln>White supremacy"
