"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"Sanford Bishop (D)";"Sanford Bishop>Mobile, Alabama>Industrial Revolution>Anarchism";"Sanford Bishop>The New York Times>Antisemitism";"Sanford Bishop>Georgia (U.S. state)>American Revolution>Capitalism";"Sanford Bishop>Alabama>Christianity";"Sanford Bishop>Georgia (U.S. state)>Jimmy Carter>Communism";"Sanford Bishop>Georgia (U.S. state)>Republican Party (United States)>Conservatism";"Sanford Bishop>Georgia (U.S. state)>American Revolution>Democracy";"Sanford Bishop>Georgia (U.S. state)>Republican Party (United States)>Fascism";"Sanford Bishop>Georgia (U.S. state)>Alice Walker>Feminism";"Sanford Bishop>Georgia (U.S. state)>Southern Company>Islamophobia";"Sanford Bishop>Georgia (U.S. state)>Coca-Cola>Left-wing politics";"Sanford Bishop>Georgia (U.S. state)>American Revolution>Liberalism";"Sanford Bishop>Georgia (U.S. state)>Soviet Union>Marxism";"Sanford Bishop>Mobile, Alabama>James Madison>Nationalism";"Sanford Bishop>Mobile, Alabama>White supremacy>Neo-Nazism";"Sanford Bishop>Georgia (U.S. state)>Hindu>Protestantism";"Sanford Bishop>The Washington Times>Right-wing politics";"Sanford Bishop>United Kingdom>Secularism";"Sanford Bishop>Mobile, Alabama>James Madison>Socialism";"Sanford Bishop>Louisiana>White supremacy"
"Lynn Westmoreland (R)";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Anarchism";"Lynn Westmoreland>Gerrymandering>Antisemitism";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Capitalism";"Lynn Westmoreland>Paul Ryan>Christmas>Christianity";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Communism";"Lynn Westmoreland>Republican Party (United States)>Conservatism";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Democracy";"Lynn Westmoreland>Republican Party (United States)>Fascism";"Lynn Westmoreland>Gerrymandering>Feminism";"Lynn Westmoreland>Gerrymandering>Islamophobia";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Left-wing politics";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Liberalism";"Lynn Westmoreland>Paul Ryan>Privatization>Marxism";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Nationalism";"Lynn Westmoreland>Atlanta>Leo Frank>Neo-Nazism";"Lynn Westmoreland>John Boehner>Crucifix>Protestantism";"Lynn Westmoreland>Republican Party (United States)>Right-wing politics";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Secularism";"Lynn Westmoreland>National Republican Congressional Committee>Conservatism>Socialism";"Lynn Westmoreland>Gerrymandering>White supremacy"
"Hank Johnson (D)";"Hank Johnson>Cynthia McKinney>Political party>Anarchism";"Hank Johnson>Anti-semitic>Antisemitism";"Hank Johnson>Georgia (U.S. state)>American Revolution>Capitalism";"Hank Johnson>Alabama>Christianity";"Hank Johnson>Georgia (U.S. state)>Jimmy Carter>Communism";"Hank Johnson>Georgia (U.S. state)>Republican Party (United States)>Conservatism";"Hank Johnson>Georgia (U.S. state)>American Revolution>Democracy";"Hank Johnson>Ku Klux Klan>Fascism";"Hank Johnson>Georgia (U.S. state)>Alice Walker>Feminism";"Hank Johnson>Ku Klux Klan>Islamophobia";"Hank Johnson>Ku Klux Klan>Left-wing politics";"Hank Johnson>Georgia (U.S. state)>American Revolution>Liberalism";"Hank Johnson>Georgia (U.S. state)>Soviet Union>Marxism";"Hank Johnson>Cynthia McKinney>Antisemitism>Nationalism";"Hank Johnson>Ku Klux Klan>Neo-Nazism";"Hank Johnson>Ku Klux Klan>Protestantism";"Hank Johnson>Georgia (U.S. state)>Republican Party (United States)>Right-wing politics";"Hank Johnson>Georgia (U.S. state)>American Revolution>Secularism";"Hank Johnson>Cynthia McKinney>Democracy>Socialism";"Hank Johnson>Ku Klux Klan>White supremacy"
"John Lewis (California Politician) (D)";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article";"John Lewis (California Politician) was not a valid article"
"Rob Woodall (R)";"Rob Woodall>Athens, Georgia>Athens>Anarchism";"Rob Woodall>Georgia (U.S. state)>Synagogue>Antisemitism";"Rob Woodall>Georgia (U.S. state)>American Revolution>Capitalism";"Rob Woodall>Georgia (U.S. state)>Alabama>Christianity";"Rob Woodall>Georgia (U.S. state)>Jimmy Carter>Communism";"Rob Woodall>Republican Party (United States)>Conservatism";"Rob Woodall>Georgia (U.S. state)>American Revolution>Democracy";"Rob Woodall>Republican Party (United States)>Fascism";"Rob Woodall>Georgia (U.S. state)>Alice Walker>Feminism";"Rob Woodall>Southern Company>Islamophobia";"Rob Woodall>Georgia (U.S. state)>Coca-Cola>Left-wing politics";"Rob Woodall>Georgia (U.S. state)>American Revolution>Liberalism";"Rob Woodall>Georgia (U.S. state)>Soviet Union>Marxism";"Rob Woodall>Athens, Georgia>Benjamin Franklin>Nationalism";"Rob Woodall>United States>Henry Ford>Neo-Nazism";"Rob Woodall>Georgia (U.S. state)>Hindu>Protestantism";"Rob Woodall>Republican Party (United States)>Right-wing politics";"Rob Woodall>Georgia (U.S. state)>American Revolution>Secularism";"Rob Woodall>Athens, Georgia>Plato>Socialism";"Rob Woodall>Georgia (U.S. state)>North Carolina>White supremacy"
"Austin Scott (politician) (R)";"Austin Scott (politician)>Jim Marshall (Georgia)>Adam Smith>Anarchism";"Austin Scott (politician)>Georgia (U.S. State)>Synagogue>Antisemitism";"Austin Scott (politician)>Georgia (U.S. State)>American Revolution>Capitalism";"Austin Scott (politician)>Georgia (U.S. State)>Alabama>Christianity";"Austin Scott (politician)>Capital punishment>Communism";"Austin Scott (politician)>Republican Party (United States)>Conservatism";"Austin Scott (politician)>Georgia (U.S. State)>American Revolution>Democracy";"Austin Scott (politician)>Republican Party (United States)>Fascism";"Austin Scott (politician)>Georgia (U.S. State)>Alice Walker>Feminism";"Austin Scott (politician)>Georgia (U.S. State)>Southern Company>Islamophobia";"Austin Scott (politician)>Georgia (U.S. State)>Coca-Cola>Left-wing politics";"Austin Scott (politician)>Georgia (U.S. State)>American Revolution>Liberalism";"Austin Scott (politician)>Georgia (U.S. State)>Soviet Union>Marxism";"Austin Scott (politician)>Jim Marshall (Georgia)>Adam Smith>Nationalism";"Austin Scott (politician)>United States>Henry Ford>Neo-Nazism";"Austin Scott (politician)>Georgia (U.S. State)>Hindu>Protestantism";"Austin Scott (politician)>Republican Party (United States)>Right-wing politics";"Austin Scott (politician)>Georgia (U.S. State)>American Revolution>Secularism";"Austin Scott (politician)>Jim Marshall (Georgia)>Adam Smith>Socialism";"Austin Scott (politician)>Georgia (U.S. State)>North Carolina>White supremacy"
"Tom Graves (R)";"Tom Graves>St. Petersburg, Florida>Catalonia>Anarchism";"Tom Graves>Georgia (U.S. State)>Synagogue>Antisemitism";"Tom Graves>Georgia (U.S. State)>American Revolution>Capitalism";"Tom Graves>Georgia (U.S. State)>Alabama>Christianity";"Tom Graves>Georgia (U.S. State)>Jimmy Carter>Communism";"Tom Graves>Republican Party (United States)>Conservatism";"Tom Graves>Georgia (U.S. State)>American Revolution>Democracy";"Tom Graves>Republican Party (United States)>Fascism";"Tom Graves>Georgia (U.S. State)>Alice Walker>Feminism";"Tom Graves>Georgia (U.S. State)>Southern Company>Islamophobia";"Tom Graves>Georgia (U.S. State)>Coca-Cola>Left-wing politics";"Tom Graves>Georgia (U.S. State)>American Revolution>Liberalism";"Tom Graves>Georgia (U.S. State)>Soviet Union>Marxism";"Tom Graves>Florida>James Madison>Nationalism";"Tom Graves>United States House of Representatives>List of political parties in the United States>Neo-Nazism";"Tom Graves>Georgia (U.S. State)>Hindu>Protestantism";"Tom Graves>Republican Party (United States)>Right-wing politics";"Tom Graves>Georgia (U.S. State)>American Revolution>Secularism";"Tom Graves>St. Petersburg, Florida>Catalonia>Socialism";"Tom Graves>Georgia (U.S. State)>North Carolina>White supremacy"
"Paul Broun (R)";"Paul Broun>Atlanta, Georgia>Chicago>Anarchism";"Paul Broun>The New York Times>Antisemitism";"Paul Broun>Georgia (U.S. state)>American Revolution>Capitalism";"Paul Broun>Georgia (U.S. state)>Alabama>Christianity";"Paul Broun>Georgia (U.S. state)>Jimmy Carter>Communism";"Paul Broun>Republican Party (United States)>Conservatism";"Paul Broun>Georgia (U.S. state)>American Revolution>Democracy";"Paul Broun>Republican Party (United States)>Fascism";"Paul Broun>Georgia (U.S. state)>Alice Walker>Feminism";"Paul Broun>Georgia (U.S. state)>Southern Company>Islamophobia";"Paul Broun>Christian right>Left-wing politics";"Paul Broun>Georgia (U.S. state)>American Revolution>Liberalism";"Paul Broun>Georgia (U.S. state)>Soviet Union>Marxism";"Paul Broun>Atlanta, Georgia>Antisemitism>Nationalism";"Paul Broun>Atlanta, Georgia>Leo Frank>Neo-Nazism";"Paul Broun>Georgia (U.S. state)>Hindu>Protestantism";"Paul Broun>Republican Party (United States)>Right-wing politics";"Paul Broun>Christian right>Secularism";"Paul Broun>Republican Party (United States)>Classical liberalism>Socialism";"Paul Broun>Southern Baptist Convention>White supremacy"
"Phil Gingrey (R)";"Phil Gingrey>Bob Barr>Libertarian Party (United States)>Anarchism";"Phil Gingrey>Georgia (U.S. state)>Synagogue>Antisemitism";"Phil Gingrey>George H. W. Bush>Capitalism";"Phil Gingrey>Georgia (U.S. state)>Alabama>Christianity";"Phil Gingrey>George H. W. Bush>Communism";"Phil Gingrey>Republican Party (United States)>Conservatism";"Phil Gingrey>Georgia (U.S. state)>American Revolution>Democracy";"Phil Gingrey>George H. W. Bush>Fascism";"Phil Gingrey>Georgia (U.S. state)>Alice Walker>Feminism";"Phil Gingrey>Georgia (U.S. state)>Southern Company>Islamophobia";"Phil Gingrey>Georgia (U.S. state)>Coca-Cola>Left-wing politics";"Phil Gingrey>Georgia (U.S. state)>American Revolution>Liberalism";"Phil Gingrey>Georgia (U.S. state)>Soviet Union>Marxism";"Phil Gingrey>Bob Barr>Civil liberties>Nationalism";"Phil Gingrey>Bob Barr>American Civil Liberties Union>Neo-Nazism";"Phil Gingrey>Georgia (U.S. state)>Hindu>Protestantism";"Phil Gingrey>Republican Party (United States)>Right-wing politics";"Phil Gingrey>Georgia (U.S. state)>American Revolution>Secularism";"Phil Gingrey>Bob Barr>Ayn Rand>Socialism";"Phil Gingrey>George H. W. Bush>White supremacy"
"John Barrow (U.S. politician) (D)";"John Barrow (U.S. politician)>Athens, Georgia>Athens>Anarchism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Synagogue>Antisemitism";"John Barrow (U.S. politician)>Georgia (U.S. state)>American Revolution>Capitalism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Alabama>Christianity";"John Barrow (U.S. politician)>Georgia (U.S. state)>Jimmy Carter>Communism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Republican Party (United States)>Conservatism";"John Barrow (U.S. politician)>Georgia (U.S. state)>American Revolution>Democracy";"John Barrow (U.S. politician)>Georgia (U.S. state)>Republican Party (United States)>Fascism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Alice Walker>Feminism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Southern Company>Islamophobia";"John Barrow (U.S. politician)>World War II>Left-wing politics";"John Barrow (U.S. politician)>Georgia (U.S. state)>American Revolution>Liberalism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Soviet Union>Marxism";"John Barrow (U.S. politician)>World War II>Nationalism";"John Barrow (U.S. politician)>United States>Henry Ford>Neo-Nazism";"John Barrow (U.S. politician)>Georgia (U.S. state)>Hindu>Protestantism";"John Barrow (U.S. politician)>World War II>Right-wing politics";"John Barrow (U.S. politician)>Georgia (U.S. state)>American Revolution>Secularism";"John Barrow (U.S. politician)>Athens, Georgia>Plato>Socialism";"John Barrow (U.S. politician)>Georgia (U.S. state)>North Carolina>White supremacy"
"David Scott (D)";"David Scott>astronaut>Socialism>Anarchism";"David Scott>The New York Times>Antisemitism";"David Scott>Apollo program>Capitalism";"David Scott>San Antonio>Canary Islands>Christianity";"David Scott>NASA>Dwight D. Eisenhower>Communism";"David Scott>NASA>Republican Party (United States)>Conservatism";"David Scott>astronaut>Poland>Democracy";"David Scott>Soviet Union>Fascism";"David Scott>astronaut>Socialism>Feminism";"David Scott>San Antonio>Sunni Islam>Islamophobia";"David Scott>University of Michigan>Left-wing politics";"David Scott>astronaut>Socialism>Liberalism";"David Scott>Soviet Union>Marxism";"David Scott>astronaut>Socialism>Nationalism";"David Scott>United States Military Academy>Hermann Göring>Neo-Nazism";"David Scott>California>Protestantism";"David Scott>NASA>Republican Party (United States)>Right-wing politics";"David Scott>San Antonio>Spain>Secularism";"David Scott>Astronaut>Socialism";"David Scott>NASA>Space Race>White supremacy"
"Mazie Hirono (D)";"Mazie Hirono>Hawaii>Confucianism>Anarchism";"Mazie Hirono>Hawaii>United Church of Christ>Antisemitism";"Mazie Hirono>Hawaii>Korea>Capitalism";"Mazie Hirono>Hawaii>Alaska>Christianity";"Mazie Hirono>Hawaii>Dwight D. Eisenhower>Communism";"Mazie Hirono>Supreme Court of the United States>Conservatism";"Mazie Hirono>Hawaii>Korea>Democracy";"Mazie Hirono>Republican Party (United States)>Fascism";"Mazie Hirono>Japan>Hayao Miyazaki>Feminism";"Mazie Hirono>Hawaii>Muslim>Islamophobia";"Mazie Hirono>Hawaii>World War II>Left-wing politics";"Mazie Hirono>Supreme Court of the United States>Liberalism";"Mazie Hirono>Hawaii>China>Marxism";"Mazie Hirono>Hawaii>World War II>Nationalism";"Mazie Hirono>Tulsi Gabbard>Bashar al-Assad>Neo-Nazism";"Mazie Hirono>California>Protestantism";"Mazie Hirono>Republican Party (United States)>Right-wing politics";"Mazie Hirono>Hawaii>Baha'i Faith>Secularism";"Mazie Hirono>Hawaii>Portugal>Socialism";"Mazie Hirono>Hawaii>Lyndon B. Johnson>White supremacy"
