"";"Anarchism";"Antisemitism";"Capitalism";"Christianity";"Communism";"Conservatism";"Democracy";"Fascism";"Feminism";"Islamophobia";"Left-wing politics";"Liberalism";"Marxism";"Nationalism";"Neo-Nazism";"Protestantism";"Right-wing politics";"Secularism";"Socialism";"White supremacy"
"John Thune (R)";"John Thune>Barry Goldwater>Anarchism";"John Thune>The New York Times>Antisemitism";"John Thune>South Dakota>Thomas Jefferson>Capitalism";"John Thune>South Dakota>Europe>Christianity";"John Thune>South Dakota>Europe>Communism";"John Thune>Barry Goldwater>Conservatism";"John Thune>South Dakota>Europe>Democracy";"John Thune>Republican Party (United States)>Fascism";"John Thune>Pierre, South Dakota>Marriage>Feminism";"John Thune>Republican Party (United States)>Affirmative action>Islamophobia";"John Thune>South Dakota>World War II>Left-wing politics";"John Thune>South Dakota>Thomas Jefferson>Liberalism";"John Thune>South Dakota>China>Marxism";"John Thune>South Dakota>Thomas Jefferson>Nationalism";"John Thune>United States House of Representatives>List of political parties in the United States>Neo-Nazism";"John Thune>South Dakota>Montana>Protestantism";"John Thune>Republican Party (United States)>Right-wing politics";"John Thune>South Dakota>Thomas Jefferson>Secularism";"John Thune>South Dakota>Montana>Socialism";"John Thune>Trent Lott>White supremacy"
"Bob Corker (R)";"Bob Corker>Ukraine>Anarchism";"Bob Corker>The New York Times>Antisemitism";"Bob Corker>Tennessee>Jimmy Carter>Capitalism";"Bob Corker>Tennessee>Alabama>Christianity";"Bob Corker>Tennessee>Manhattan Project>Communism";"Bob Corker>Republican Party (United States)>Conservatism";"Bob Corker>Tennessee>Abraham Lincoln>Democracy";"Bob Corker>North Korea>Fascism";"Bob Corker>Tennessee>Association football>Feminism";"Bob Corker>Bill Frist>Al-Qaeda>Islamophobia";"Bob Corker>Tennessee>World War II>Left-wing politics";"Bob Corker>Tennessee>Christianity>Liberalism";"Bob Corker>Tennessee>Christianity>Marxism";"Bob Corker>Tennessee>World War II>Nationalism";"Bob Corker>115th United States Congress>Steve King>Neo-Nazism";"Bob Corker>Tennessee>Arkansas>Protestantism";"Bob Corker>Republican Party (United States)>Right-wing politics";"Bob Corker>Tennessee>Christianity>Secularism";"Bob Corker>North Korea>Socialism";"Bob Corker>Tennessee>North Carolina>White supremacy"
"Lamar Alexander (R)";"Lamar Alexander>Tennessee>Chicago>Anarchism";"Lamar Alexander>Jack Kemp>Antisemitism";"Lamar Alexander>George H. W. Bush>Capitalism";"Lamar Alexander>Tennessee>Alabama>Christianity";"Lamar Alexander>George H. W. Bush>Communism";"Lamar Alexander>Republican Party (United States)>Conservatism";"Lamar Alexander>Tennessee>Abraham Lincoln>Democracy";"Lamar Alexander>George H. W. Bush>Fascism";"Lamar Alexander>Tennessee>Association football>Feminism";"Lamar Alexander>George H. W. Bush>Racial segregation>Islamophobia";"Lamar Alexander>Tennessee>World War II>Left-wing politics";"Lamar Alexander>Tennessee>Christianity>Liberalism";"Lamar Alexander>Tennessee>Christianity>Marxism";"Lamar Alexander>Tennessee>World War II>Nationalism";"Lamar Alexander>Bill Clinton>Bosnian War>Neo-Nazism";"Lamar Alexander>Tennessee>Arkansas>Protestantism";"Lamar Alexander>Republican Party (United States)>Right-wing politics";"Lamar Alexander>Tennessee>Christianity>Secularism";"Lamar Alexander>Tennessee>Christianity>Socialism";"Lamar Alexander>George H. W. Bush>White supremacy"
"Kay Bailey Hutchison (R)";"Kay Bailey Hutchison>Libertarian Party (United States)>Anarchism";"Kay Bailey Hutchison>The New York Times>Antisemitism";"Kay Bailey Hutchison>George H. W. Bush>Capitalism";"Kay Bailey Hutchison>Donald Trump>Europe>Christianity";"Kay Bailey Hutchison>George H. W. Bush>Communism";"Kay Bailey Hutchison>Republican Party (United States)>Conservatism";"Kay Bailey Hutchison>Donald Trump>Europe>Democracy";"Kay Bailey Hutchison>George H. W. Bush>Fascism";"Kay Bailey Hutchison>Roe v. Wade>Feminism";"Kay Bailey Hutchison>Donald Trump>Political correctness>Islamophobia";"Kay Bailey Hutchison>Donald Trump>Media bias>Left-wing politics";"Kay Bailey Hutchison>Donald Trump>South Park>Liberalism";"Kay Bailey Hutchison>Donald Trump>Screen Actors Guild>Marxism";"Kay Bailey Hutchison>Donald Trump>Afghanistan>Nationalism";"Kay Bailey Hutchison>Donald Trump>David Duke>Neo-Nazism";"Kay Bailey Hutchison>Donald Trump>California>Protestantism";"Kay Bailey Hutchison>Republican Party (United States)>Right-wing politics";"Kay Bailey Hutchison>Donald Trump>Europe>Secularism";"Kay Bailey Hutchison>Donald Trump>North Korea>Socialism";"Kay Bailey Hutchison>George H. W. Bush>White supremacy"
"John Cornyn (R)";"John Cornyn>Texas>Libertarian Party (United States)>Anarchism";"John Cornyn>The New York Times>Antisemitism";"John Cornyn>Ted Cruz>Milton Friedman>Capitalism";"John Cornyn>Texas>Alaska>Christianity";"John Cornyn>Journalism>Communism";"John Cornyn>Supreme Court of the United States>Conservatism";"John Cornyn>Texas>Federalism>Democracy";"John Cornyn>Republican Party (United States)>Fascism";"John Cornyn>Texas>Slavery>Feminism";"John Cornyn>Texas>Slavery>Islamophobia";"John Cornyn>Texas>World War II>Left-wing politics";"John Cornyn>Journalism>Liberalism";"John Cornyn>Texas>Chile>Marxism";"John Cornyn>Texas>World War II>Nationalism";"John Cornyn>Joan Lefkow>Neo-Nazism";"John Cornyn>Texas>Arkansas>Protestantism";"John Cornyn>Republican Party (United States)>Right-wing politics";"John Cornyn>Texas>Germany>Secularism";"John Cornyn>Journalism>Socialism";"John Cornyn>Louisiana>White supremacy"
"Orrin Hatch (R)";"Orrin Hatch>Utah>Edward Abbey>Anarchism";"Orrin Hatch>Frank Zappa>Antisemitism";"Orrin Hatch>Copyright>Capitalism";"Orrin Hatch>Autobiography>Christianity";"Orrin Hatch>George H. W. Bush>Communism";"Orrin Hatch>Supreme Court of the United States>Conservatism";"Orrin Hatch>Associate Justice of the Supreme Court of the United States>Abraham Lincoln>Democracy";"Orrin Hatch>George H. W. Bush>Fascism";"Orrin Hatch>Patrick Leahy>Roe v. Wade>Feminism";"Orrin Hatch>American Nazi Party>Islamophobia";"Orrin Hatch>Ronald Reagan>Left-wing politics";"Orrin Hatch>Copyright>Liberalism";"Orrin Hatch>Soviet Union>Marxism";"Orrin Hatch>Patrick Leahy>Treaty of Versailles>Nationalism";"Orrin Hatch>American Nazi Party>Neo-Nazism";"Orrin Hatch>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Orrin Hatch>Ronald Reagan>Right-wing politics";"Orrin Hatch>United Kingdom>Secularism";"Orrin Hatch>Copyright>Ayn Rand>Socialism";"Orrin Hatch>George H. W. Bush>White supremacy"
"Mike Lee (U.S. politician) (R)";"Mike Lee (American politician)>Utah>Edward Abbey>Anarchism";"Mike Lee (American politician)>The New York Times>Antisemitism";"Mike Lee (American politician)>Ronald Reagan>Capitalism";"Mike Lee (American politician)>Utah>The Church of Jesus Christ of Latter-day Saints>Christianity";"Mike Lee (American politician)>Utah>Greeks>Communism";"Mike Lee (American politician)>Supreme Court of the United States>Conservatism";"Mike Lee (American politician)>Political science>Democracy";"Mike Lee (American politician)>Ronald Reagan>Fascism";"Mike Lee (American politician)>Utah>Suffrage>Feminism";"Mike Lee (American politician)>Utah>Muslim>Islamophobia";"Mike Lee (American politician)>Ronald Reagan>Left-wing politics";"Mike Lee (American politician)>Supreme Court of the United States>Liberalism";"Mike Lee (American politician)>Orrin Hatch>Soviet Union>Marxism";"Mike Lee (American politician)>Utah>Abraham Lincoln>Nationalism";"Mike Lee (American politician)>Orrin Hatch>American Nazi Party>Neo-Nazism";"Mike Lee (American politician)>Utah>The Church of Jesus Christ of Latter-day Saints>Protestantism";"Mike Lee (American politician)>Ronald Reagan>Right-wing politics";"Mike Lee (American politician)>Utah>Book of Mormon>Secularism";"Mike Lee (American politician)>Bob Bennett (politician)>Minimum wage>Socialism";"Mike Lee (American politician)>Ronald Reagan>White supremacy"
"Patrick Leahy (D)";"Patrick Leahy>Vermont>Barre (city), Vermont>Anarchism";"Patrick Leahy>The New York Times>Antisemitism";"Patrick Leahy>Copyright>Capitalism";"Patrick Leahy>Vermont>Ethan Allen>Christianity";"Patrick Leahy>Lesbian>Communism";"Patrick Leahy>Rush Limbaugh>Conservatism";"Patrick Leahy>Italy>Democracy";"Patrick Leahy>Ronald Reagan>Fascism";"Patrick Leahy>Roe v. Wade>Feminism";"Patrick Leahy>Affirmative action>Islamophobia";"Patrick Leahy>Rush Limbaugh>Left-wing politics";"Patrick Leahy>Copyright>Liberalism";"Patrick Leahy>China>Marxism";"Patrick Leahy>Treaty of Versailles>Nationalism";"Patrick Leahy>Bernie Sanders>Noam Chomsky>Neo-Nazism";"Patrick Leahy>Vermont>African Americans>Protestantism";"Patrick Leahy>Ronald Reagan>Right-wing politics";"Patrick Leahy>Free trade>Secularism";"Patrick Leahy>China>Socialism";"Patrick Leahy>Ronald Reagan>White supremacy"
"Jim Webb (D)";"Jim Webb>Bob Kerrey>Anarchism";"Jim Webb>The New York Times>Antisemitism";"Jim Webb>South Vietnam>Capitalism";"Jim Webb>Virginia>Baptists>Christianity";"Jim Webb>Virginia>Thomas E. Dewey>Communism";"Jim Webb>Republican Party (United States)>Conservatism";"Jim Webb>Myanmar>Democracy";"Jim Webb>Ronald Reagan>Fascism";"Jim Webb>Virginia>Desegregation>Feminism";"Jim Webb>Virginia>Desegregation>Islamophobia";"Jim Webb>Ronald Reagan>Left-wing politics";"Jim Webb>Virginia>American Revolution>Liberalism";"Jim Webb>Virginia>German Empire>Marxism";"Jim Webb>Virginia>Thomas Jefferson>Nationalism";"Jim Webb>Ronald Reagan>Waffen-SS>Neo-Nazism";"Jim Webb>Virginia>German Empire>Protestantism";"Jim Webb>Ronald Reagan>Right-wing politics";"Jim Webb>Virginia>American Revolution>Secularism";"Jim Webb>Virginia>James Madison>Socialism";"Jim Webb>Ronald Reagan>White supremacy"
"Mark Warner (D)";"Mark Warner>United States Senate Select Committee on Intelligence>Barry Goldwater>Anarchism";"Mark Warner>The Times>Antisemitism";"Mark Warner>Dianne Feinstein>Jimmy Carter>Capitalism";"Mark Warner>Democratic Caucus of the United States Senate>Alabama>Christianity";"Mark Warner>Capital punishment>Communism";"Mark Warner>Supreme Court of the United States>Conservatism";"Mark Warner>Political science>Democracy";"Mark Warner>United States Senate Select Committee on Intelligence>Republican Party (United States)>Fascism";"Mark Warner>Chuck Schumer>Roe v. Wade>Feminism";"Mark Warner>Chuck Schumer>Al-Qaeda>Islamophobia";"Mark Warner>Elizabeth Warren>University of Michigan>Left-wing politics";"Mark Warner>Supreme Court of the United States>Liberalism";"Mark Warner>Venture capital>Marxism";"Mark Warner>Dianne Feinstein>Pale of Settlement>Nationalism";"Mark Warner>Dianne Feinstein>Pale of Settlement>Neo-Nazism";"Mark Warner>Dianne Feinstein>California>Protestantism";"Mark Warner>United States Senate Select Committee on Intelligence>Republican Party (United States)>Right-wing politics";"Mark Warner>Chuck Schumer>Theocracy>Secularism";"Mark Warner>Dianne Feinstein>China>Socialism";"Mark Warner>Dianne Feinstein>Trent Lott>White supremacy"
"Maria Cantwell (D)";"Maria Cantwell>Washington (state)>Personal property>Anarchism";"Maria Cantwell>Anti-Americanism>Antisemitism";"Maria Cantwell>Washington (state)>British Columbia>Capitalism";"Maria Cantwell>Alaska>Christianity";"Maria Cantwell>Washington (state)>Hubert Humphrey>Communism";"Maria Cantwell>Republican Party (United States)>Conservatism";"Maria Cantwell>Patty Murray>Osama bin Laden>Democracy";"Maria Cantwell>Republican Party (United States)>Fascism";"Maria Cantwell>Washington (state)>Roe v. Wade>Feminism";"Maria Cantwell>Lisa Murkowski>Nepotism>Islamophobia";"Maria Cantwell>Washington (state)>British Columbia>Left-wing politics";"Maria Cantwell>Washington (state)>Supreme Court of the United States>Liberalism";"Maria Cantwell>Washington (state)>Christianity>Marxism";"Maria Cantwell>Washington (state)>World War II>Nationalism";"Maria Cantwell>Washington (state)>Amazon (company)>Neo-Nazism";"Maria Cantwell>Washington (state)>California>Protestantism";"Maria Cantwell>Republican Party (United States)>Right-wing politics";"Maria Cantwell>Washington (state)>Spain>Secularism";"Maria Cantwell>Washington (state)>British Columbia>Socialism";"Maria Cantwell>Louisiana>White supremacy"
"Patty Murray (D)";"Patty Murray>Libertarian Party (United States)>Anarchism";"Patty Murray>Osama bin Laden>Antisemitism";"Patty Murray>George H. W. Bush>Capitalism";"Patty Murray>Washington (state)>British Columbia>Christianity";"Patty Murray>George H. W. Bush>Communism";"Patty Murray>Republican Party (United States)>Conservatism";"Patty Murray>Osama bin Laden>Democracy";"Patty Murray>George H. W. Bush>Fascism";"Patty Murray>Washington (state)>Roe v. Wade>Feminism";"Patty Murray>Chuck Schumer>Al-Qaeda>Islamophobia";"Patty Murray>World War II>Left-wing politics";"Patty Murray>Washington (state)>Supreme Court of the United States>Liberalism";"Patty Murray>Washington (state)>Christianity>Marxism";"Patty Murray>World War II>Nationalism";"Patty Murray>Washington (state)>Amazon (company)>Neo-Nazism";"Patty Murray>California>Protestantism";"Patty Murray>Republican Party (United States)>Right-wing politics";"Patty Murray>Washington (state)>Spain>Secularism";"Patty Murray>Washington (state)>British Columbia>Socialism";"Patty Murray>George H. W. Bush>White supremacy"
"Joe Manchin (D)";"Joe Manchin>West Virginia>Thomas Jefferson>Anarchism";"Joe Manchin>The New York Times>Antisemitism";"Joe Manchin>Italy>Capitalism";"Joe Manchin>West Virginia>African Americans>Christianity";"Joe Manchin>West Virginia>Industrial Revolution>Communism";"Joe Manchin>Republican Party (United States)>Conservatism";"Joe Manchin>Italy>Democracy";"Joe Manchin>Republican Party (United States)>Fascism";"Joe Manchin>LGBT>Feminism";"Joe Manchin>West Virginia>Slavery>Islamophobia";"Joe Manchin>Shelley Moore Capito>Blue Dog Coalition>Left-wing politics";"Joe Manchin>West Virginia>Blue>Liberalism";"Joe Manchin>West Virginia>Industrial Revolution>Marxism";"Joe Manchin>West Virginia>Abraham Lincoln>Nationalism";"Joe Manchin>Ken Hechler>Hermann Göring>Neo-Nazism";"Joe Manchin>West Virginia>African Americans>Protestantism";"Joe Manchin>The Washington Times>Right-wing politics";"Joe Manchin>West Virginia>Thomas Jefferson>Secularism";"Joe Manchin>West Virginia>Industrial Revolution>Socialism";"Joe Manchin>West Virginia>North Carolina>White supremacy"
"Jay Rockefeller (D)";"Jay Rockefeller>Unemployment>Anarchism";"Jay Rockefeller>West Virginia>Slavery>Antisemitism";"Jay Rockefeller>Kykuit>Capitalism";"Jay Rockefeller>West Virginia>African Americans>Christianity";"Jay Rockefeller>West Virginia>Industrial Revolution>Communism";"Jay Rockefeller>Republican Party (United States)>Conservatism";"Jay Rockefeller>West Virginia>Abraham Lincoln>Democracy";"Jay Rockefeller>Ronald Reagan>Fascism";"Jay Rockefeller>West Virginia>Slavery>Feminism";"Jay Rockefeller>West Virginia>Slavery>Islamophobia";"Jay Rockefeller>Ronald Reagan>Left-wing politics";"Jay Rockefeller>Unemployment>Liberalism";"Jay Rockefeller>Unemployment>Marxism";"Jay Rockefeller>Think tank>Nationalism";"Jay Rockefeller>Dianne Feinstein>Pale of Settlement>Neo-Nazism";"Jay Rockefeller>Japan>Protestantism";"Jay Rockefeller>Ronald Reagan>Right-wing politics";"Jay Rockefeller>West Virginia>Thomas Jefferson>Secularism";"Jay Rockefeller>West Virginia>Industrial Revolution>Socialism";"Jay Rockefeller>Ronald Reagan>White supremacy"
