congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
112,House,29309,71,6,CA,100,0,1,"WOOLSEY, Lynn C.",W000738,1937,,-0.556,-0.529,-147.85223,0.899,1385,66,,-0.56,-0.675
112,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-201.30439,0.864,1377,90,,-0.458,-0.425
112,House,29905,71,42,CA,200,0,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-166.02919,0.883,1338,74,,0.5,0.224
112,House,20110,43,1,FL,200,0,1,"MILLER, Jefferson B. (Jeff)",M001144,1959,,0.633,0.155,-188.74901,0.873,1393,75,,0.659,-0.087
112,House,20331,23,10,MI,200,0,1,"MILLER, Candice S.",M001150,1954,,0.343,-0.001,-282.56851,0.821,1432,121,,0.435,-0.232
112,House,20341,47,13,NC,100,0,1,"MILLER, Brad",M001154,1953,,-0.376,0.063,-224.07065,0.854,1423,91,,-0.444,0.171
112,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-160.56206,0.88644,1332,71,,-0.439,-0.05
112,House,29778,71,9,CA,100,0,1,"LEE, Barbara",L000551,1946,,-0.687,-0.598,-148.85554,0.8974,1375,73,,-0.72,-0.488
112,House,21147,46,1,MS,200,0,1,"NUNNELEE, Alan",N000186,1958,2015.0,0.488,0.574,-154.09511,0.895,1395,66,,0.484,0.399
112,House,20936,13,26,NY,200,1,1,"LEE, Christopher John",L000568,1964,,0.313,0.16,,,,,,0.47,0.878
112,House,29573,49,18,TX,100,0,1,"JACKSON LEE, Sheila",J000032,1950,,-0.459,0.134,-286.89131,0.80142,1296,117,,-0.489,0.319
112,House,29937,73,1,WA,100,1,1,"INSLEE, Jay Robert",I000026,1951,,-0.33,-0.194,-207.12559,0.804,947,82,,-0.291,-0.189
112,Senate,41110,67,0,UT,200,0,1,"LEE, Mike",L000577,1971,,0.919,-0.394,-86.39663,0.80487,398,42,,0.935,-0.354
112,House,20958,71,10,CA,100,2,2,"GARAMENDI, John",G000559,1945,,-0.31,-0.095,-288.95583,0.80922,1365,122,,-0.346,-0.142
112,House,20762,71,12,CA,100,0,1,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.384,-0.459,-221.14114,0.84335,1298,80,,-0.341,-0.42
112,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-160.84025,0.888,1354,69,,-0.587,-0.596
112,House,29312,71,14,CA,100,0,1,"ESHOO, Anna Georges",E000215,1942,,-0.382,-0.434,-203.27902,0.86275,1377,90,,-0.336,-0.457
112,House,20103,71,15,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-158.77275,0.89,1361,66,,-0.529,-0.514
112,House,29504,71,16,CA,100,0,1,"LOFGREN, Zoe",L000397,1947,,-0.402,-0.445,-253.82382,0.8321,1381,97,,-0.347,-0.46
112,House,29313,71,17,CA,100,0,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-202.03084,0.866,1406,71,,-0.402,-0.417
112,House,20306,71,18,CA,100,0,1,"CARDOZA, Dennis A.",C001050,1959,,-0.262,0.609,-479.67818,0.651,1119,236,,-0.227,0.541
112,House,21109,71,19,CA,200,0,1,"DENHAM, Jeff",D000612,1967,,0.306,0.21,-216.7892,0.85702,1405,94,,0.408,0.19
112,House,20501,71,20,CA,100,0,1,"COSTA, Jim",C001059,1952,,-0.187,0.467,-606.39838,0.64255,1371,301,,-0.172,0.518
112,House,20307,71,21,CA,200,0,1,"NUNES, Devin",N000181,1973,,0.448,0.198,-164.85164,0.88988,1413,72,,0.463,0.323
112,House,29774,71,23,CA,100,0,1,"CAPPS, Lois",C001036,1938,,-0.389,-0.227,-148.65195,0.9,1418,65,,-0.392,-0.163
112,House,15413,71,24,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-194.95235,0.864,1333,74,,0.367,0.204
112,House,14813,71,26,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-248.0076,0.839,1417,112,,0.345,0.267
112,House,29707,71,27,CA,100,0,1,"SHERMAN, Brad",S000344,1954,,-0.341,-0.149,-196.34277,0.87112,1423,72,,-0.345,-0.165
112,House,15005,71,28,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-217.35245,0.851,1352,92,,-0.368,-0.087
112,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-95.42711,0.786,396,44,,-0.153,-0.366
112,House,20104,71,29,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.348,-0.13,-188.9241,0.87632,1431,71,,-0.343,-0.057
112,House,14280,71,30,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-174.19722,0.883,1401,66,,-0.428,-0.216
112,House,29316,71,31,CA,100,0,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-141.09089,0.90321,1386,62,,-0.491,-0.286
112,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-182.54918,0.876,1382,78,,0.339,0.342
112,House,20955,71,32,CA,100,2,2,"CHU, Judy",C001080,1953,,-0.49,-0.376,-150.21599,0.89757,1390,60,,-0.506,-0.32
112,House,20504,43,20,FL,100,0,1,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.423,0.066,-169.39731,0.88174,1346,61,,-0.422,0.096
112,House,21194,13,26,NY,100,2,2,"HOCHUL, Kathleen C.",H001062,1958,,-0.239,0.317,-382.73427,0.701,1077,158,,-0.219,0.232
112,Senate,14858,13,0,NY,100,0,1,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.351,-0.391,-37.90012,0.90981,401,17,,-0.344,-0.095
112,House,21110,71,33,CA,100,0,1,"BASS, Karen",B001270,1953,,-0.586,-0.096,-143.9069,0.89664,1319,59,,-0.524,-0.206
112,House,29538,4,2,NH,200,0,1,"BASS, Charles Foster",B000220,1952,,0.331,-0.556,-428.01426,0.738,1408,207,,0.257,-0.377
112,House,29317,71,34,CA,100,0,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.47,-0.191,-137.92613,0.90592,1396,53,,-0.452,-0.189
112,House,29106,71,35,CA,100,0,1,"WATERS, Maxine",W000187,1938,,-0.655,-0.086,-213.19689,0.85127,1324,90,,-0.506,-0.221
112,House,29318,71,36,CA,100,1,1,"HARMAN, Jane L.",H000213,1945,,-0.262,-0.12,-22.52676,0.767,85,6,,-0.329,0.025
112,House,21195,71,36,CA,100,2,2,"HAHN, Janice",H001063,1952,,-0.39,-0.376,-85.76862,0.9,812,34,,-0.43,-0.229
112,House,20752,71,37,CA,100,0,1,"RICHARDSON, Laura",R000581,1962,,-0.339,-0.022,-319.85278,0.795,1398,135,,-0.301,-0.091
112,House,29903,71,38,CA,100,0,1,"NAPOLITANO, Grace Flores",N000179,1936,,-0.448,-0.247,-140.87919,0.89782,1307,63,,-0.529,-0.25
112,House,29709,71,47,CA,100,0,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-226.8276,0.841,1307,104,,-0.372,-0.104
112,House,29321,71,40,CA,200,0,1,"ROYCE, Edward Randall",R000487,1951,,0.659,-0.36,-206.76992,0.86485,1424,91,,0.655,-0.406
112,House,14644,71,41,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-186.97801,0.861,1246,66,,0.295,0.271
112,House,15431,44,5,GA,100,0,1,"LEWIS, John R.",L000287,1940,,-0.59,-0.226,-152.71558,0.89349,1356,72,,-0.552,-0.257
112,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-201.30439,0.864,1377,90,,-0.458,-0.425
112,House,29905,71,42,CA,200,0,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-166.02919,0.883,1338,74,,0.5,0.224
112,House,20110,43,1,FL,200,0,1,"MILLER, Jefferson B. (Jeff)",M001144,1959,,0.633,0.155,-188.74901,0.873,1393,75,,0.659,-0.087
112,House,20331,23,10,MI,200,0,1,"MILLER, Candice S.",M001150,1954,,0.343,-0.001,-282.56851,0.821,1432,121,,0.435,-0.232
112,House,20341,47,13,NC,100,0,1,"MILLER, Brad",M001154,1953,,-0.376,0.063,-224.07065,0.854,1423,91,,-0.444,0.171
112,House,29942,71,43,CA,100,0,1,"BACA, Joe",B001234,1947,,-0.349,0.292,-241.24846,0.835,1340,85,,-0.383,0.303
112,House,29323,71,44,CA,200,0,1,"CALVERT, Ken",C000059,1953,,0.349,0.203,-146.11287,0.90189,1415,55,,0.315,0.491
112,House,15621,71,46,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.627,-0.419,-294.40345,0.81132,1408,126,,0.631,-0.475
112,House,29709,71,47,CA,100,0,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-226.8276,0.841,1307,104,,-0.372,-0.104
112,House,20107,71,49,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.506,-0.087,-162.82066,0.8905,1404,55,,0.53,0.171
112,House,29508,71,50,CA,200,0,1,"BILBRAY, Brian P.",B000461,1951,,0.392,-0.376,-383.20407,0.758,1384,164,,0.322,-0.172
112,House,29325,71,51,CA,100,0,1,"FILNER, Bob",F000116,1942,,-0.652,0.002,-100.65144,0.903,988,42,,-0.752,-0.158
112,House,20108,71,53,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.106,-197.56433,0.87029,1422,78,,-0.346,-0.048
112,House,29717,21,7,IL,100,0,1,"DAVIS, Danny K.",D000096,1941,,-0.486,-0.26,-208.78632,0.85592,1342,83,,-0.503,-0.121
112,House,20511,51,4,KY,200,1,1,"DAVIS, Geoffrey C. (Geoff)",D000603,1958,,0.398,0.412,-200.34493,0.86,1324,85,,0.337,0.243
112,House,20904,62,2,CO,100,0,1,"POLIS, Jared",P000598,1975,,-0.279,-0.693,-374.123,0.75271,1317,141,,-0.256,-0.607
112,House,21111,62,3,CO,200,0,1,"TIPTON, Scott",T000470,1956,,0.454,-0.036,-296.84019,0.81267,1431,137,,0.411,-0.035
112,House,21112,62,4,CO,200,0,1,"GARDNER, Cory",G000562,1974,,0.454,-0.015,-234.92504,0.84693,1414,104,,0.508,0.092
112,House,20704,62,5,CO,200,0,1,"LAMBORN, Doug",L000564,1954,,0.69,0.186,-136.03594,0.9074,1400,43,,0.701,0.312
112,House,20906,62,6,CO,200,0,1,"COFFMAN, Mike",C001077,1955,,0.493,-0.217,-287.64708,0.8171,1424,131,,0.486,-0.154
112,House,20705,62,7,CO,100,0,1,"PERLMUTTER, Ed",P000593,1953,,-0.282,0.081,-439.8337,0.73186,1409,186,,-0.261,0.137
112,House,29908,1,1,CT,100,0,1,"LARSON, John B.",L000557,1948,,-0.399,-0.055,-195.32654,0.86685,1367,79,,-0.425,0.002
112,House,20907,1,4,CT,100,0,1,"HIMES, James A.",H001047,1966,,-0.241,-0.252,-338.62913,0.78849,1425,143,,-0.252,-0.238
112,House,20707,1,5,CT,100,0,1,"MURPHY, Christopher",M001169,1973,,-0.307,-0.183,-249.69566,0.8346,1381,93,,-0.275,-0.279
112,House,20346,14,18,PA,200,0,1,"MURPHY, Timothy",M001151,1952,,0.258,0.198,-274.78477,0.82484,1427,116,,0.356,0.093
112,House,29328,43,3,FL,100,0,1,"BROWN, Corrine",B000911,1946,,-0.429,0.192,-217.51885,0.853,1369,78,,-0.447,0.268
112,Senate,40913,3,0,MA,200,3,2,"BROWN, Scott P.",B001268,1959,,0.128,-0.294,-118.93215,0.747,407,52,,0.083,-0.396
112,Senate,29389,24,0,OH,100,0,1,"BROWN, Sherrod",B000944,1952,,-0.438,-0.141,-46.48619,0.89156,405,22,,-0.403,-0.277
112,House,20111,43,4,FL,200,0,1,"CRENSHAW, Ander",C001045,1944,,0.333,0.337,-165.98683,0.89,1424,70,,0.297,0.544
112,House,21115,43,5,FL,200,0,1,"NUGENT, Richard",N000185,1951,,0.483,0.077,-200.55318,0.869,1424,87,,0.516,0.029
112,House,15627,43,6,FL,200,0,1,"STEARNS, Clifford Bundy",S000822,1941,,0.554,-0.075,-233.35025,0.849,1424,99,,0.623,-0.343
112,House,29331,43,7,FL,200,0,1,"MICA, John L.",M000689,1943,,0.453,0.137,-183.17067,0.879,1426,89,,0.503,0.127
112,House,21116,43,8,FL,200,0,1,"WEBSTER, Daniel A.",W000806,1949,,0.484,-0.007,-240.81282,0.84371,1417,97,,0.465,-0.005
112,House,20758,43,9,FL,200,0,1,"BILIRAKIS, Gus",B001257,1963,,0.404,0.023,-199.30417,0.86615,1387,73,,0.401,0.024
112,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.279,0.014,-371.74272,0.74692,1274,155,,0.338,-0.052
112,House,13047,43,10,FL,200,0,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013.0,0.325,-0.112,-314.83026,0.787,1316,131,,0.318,-0.157
112,House,21133,22,9,IN,200,0,1,"YOUNG, Todd",Y000064,1972,,0.484,0.057,-180.19607,0.88114,1424,76,,0.543,0.075
112,House,20708,43,11,FL,100,0,1,"CASTOR, Kathy",C001066,1966,,-0.44,0.049,-196.35135,0.86547,1359,89,,-0.393,0.007
112,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-422.32622,0.738,1387,192,,-0.114,0.722
112,House,21117,43,12,FL,200,0,1,"ROSS, Dennis",R000593,1959,,0.53,0.097,-174.84929,0.88399,1418,69,,0.6,0.031
112,House,20709,43,13,FL,200,0,1,"BUCHANAN, Vernon G.",B001260,1951,,0.359,-0.15,-261.61443,0.83043,1408,105,,0.409,-0.277
112,House,21108,42,3,AR,200,0,1,"WOMACK, Steve",W000809,1957,,0.347,0.566,-126.90688,0.9153,1434,54,,0.308,0.574
112,House,20503,43,14,FL,200,0,1,"MACK, Connie, IV",M001155,1967,,0.601,-0.16,-168.18734,0.872,1225,62,,0.694,-0.257
112,House,20909,43,15,FL,200,0,1,"POSEY, Bill",P000599,1947,,0.513,-0.315,-264.08799,0.83105,1427,118,,0.55,-0.222
112,House,21118,43,17,FL,100,0,1,"WILSON, Frederica",W000808,1942,,-0.474,-0.014,-159.49769,0.8852,1308,67,,-0.472,0.012
112,House,20138,48,2,SC,200,0,1,"WILSON, Addison Graves (Joe)",W000795,1947,,0.545,0.099,-146.24173,0.90155,1411,53,,0.615,0.098
112,House,15634,43,18,FL,200,0,1,"ROS-LEHTINEN, Ileana",R000435,1952,,0.244,-0.226,-295.6817,0.81119,1413,105,,0.219,0.095
112,House,20959,43,19,FL,100,2,2,"DEUTCH, Theodore E. (Ted)",D000610,1966,,-0.401,-0.101,-165.27469,0.88612,1367,70,,-0.444,-0.041
112,House,20504,43,20,FL,100,0,1,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.423,0.066,-169.39731,0.88174,1346,61,,-0.422,0.096
112,House,21119,43,22,FL,200,0,1,"WEST, Allen",W000807,1961,,0.451,0.043,-249.34459,0.84,1430,111,,0.452,-0.051
112,House,20506,44,3,GA,200,0,1,"WESTMORELAND, Lynn A.",W000796,1950,,0.672,0.189,-171.81261,0.886,1417,73,,0.655,0.102
112,House,29337,43,23,FL,100,0,1,"HASTINGS, Alcee Lamar",H000324,1936,,-0.564,0.156,-210.14491,0.86226,1418,88,,-0.51,0.08
112,House,29580,73,4,WA,200,0,1,"HASTINGS, Richard Norman (Doc)",H000329,1941,,0.416,0.411,-158.72363,0.889,1350,72,,0.362,0.644
112,House,21120,43,24,FL,200,0,1,"ADAMS, Sandra (Sandy)",A000366,1956,,0.577,0.043,-188.15606,0.877,1434,87,,0.57,-0.075
112,House,21121,43,25,FL,200,0,1,"RIVERA, David",R000590,1965,,0.257,0.349,-159.86694,0.893,1414,52,,0.254,0.367
112,House,29338,44,1,GA,200,0,1,"KINGSTON, Jack",K000220,1955,,0.54,0.302,-273.24294,0.825,1423,114,,0.552,0.11
112,House,29339,44,2,GA,100,0,1,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,-0.282,0.472,-381.20068,0.75787,1375,174,,-0.282,0.564
112,House,20338,13,1,NY,100,0,1,"BISHOP, Timothy H.",B001242,1950,,-0.338,-0.05,-235.4931,0.843,1383,96,,-0.338,-0.048
112,House,20357,67,1,UT,200,0,1,"BISHOP, Robert (Rob)",B001250,1951,,0.531,0.114,-244.01426,0.83663,1368,94,,0.562,-0.035
112,House,20506,44,3,GA,200,0,1,"WESTMORELAND, Lynn A.",W000796,1950,,0.672,0.189,-171.81261,0.886,1417,73,,0.655,0.102
112,House,20712,44,4,GA,100,0,1,"JOHNSON, Hank",J000288,1954,,-0.469,0.021,-182.49084,0.87477,1364,75,,-0.486,0.072
112,House,20116,21,15,IL,200,0,1,"JOHNSON, Timothy V.",J000285,1946,,0.264,-0.52,-596.89026,0.644,1357,287,,0.398,-0.851
112,House,21162,24,6,OH,200,0,1,"JOHNSON, Bill",J000292,1954,,0.428,0.255,-235.52812,0.84824,1431,100,,0.463,0.155
112,House,29143,49,3,TX,200,0,1,"JOHNSON, Sam",J000174,1930,,0.61,0.278,-148.3005,0.89669,1360,55,,0.552,0.378
112,House,39305,49,30,TX,100,0,1,"JOHNSON, Eddie Bernice",J000126,1935,,-0.486,0.206,-256.76111,0.82932,1372,113,,-0.472,0.168
112,Senate,15425,37,0,SD,100,0,1,"JOHNSON, Timothy Peter (Tim)",J000177,1946,,-0.25,0.143,-48.57826,0.887,406,17,,-0.304,0.139
112,Senate,41111,25,0,WI,200,0,1,"JOHNSON, Ron",J000293,1955,,0.601,-0.316,-71.31881,0.83998,409,33,,0.645,-0.229
112,House,21122,44,7,GA,200,0,1,"WOODALL, Rob",W000810,1970,,0.649,-0.258,-253.00507,0.8368,1420,110,,0.687,-0.274
112,House,20321,44,13,GA,100,0,1,"SCOTT, David",S001157,1945,,-0.301,0.167,-278.05604,0.82079,1408,100,,-0.351,0.132
112,House,21123,44,8,GA,200,0,1,"SCOTT, Austin",S001189,1969,,0.572,0.166,-177.70871,0.88206,1416,65,,0.605,0.098
112,House,21173,48,1,SC,200,0,1,"SCOTT, Tim",S001184,1965,,0.653,-0.013,-142.70448,0.9049,1428,58,,0.682,-0.006
112,House,39307,40,3,VA,100,0,1,"SCOTT, Robert C.",S000185,1947,,-0.451,0.011,-242.62072,0.84314,1422,98,,-0.398,-0.045
112,House,20962,44,9,GA,200,0,1,"GRAVES, Tom",G000560,1970,,0.749,-0.05,-159.68651,0.89406,1426,73,,0.856,-0.234
112,House,20124,34,6,MO,200,0,1,"GRAVES, Samuel",G000546,1963,,0.432,0.161,-209.18071,0.85935,1380,89,,0.493,0.214
112,House,20753,44,10,GA,200,0,1,"BROUN, Paul C., Jr.",B001262,1946,,0.913,-0.408,-192.64579,0.87,1378,85,,0.903,-0.328
112,House,20319,44,11,GA,200,0,1,"GINGREY, Phil",G000550,1942,,0.561,0.272,-189.47756,0.87,1364,76,,0.575,0.039
112,House,20507,44,12,GA,100,0,1,"BARROW, John",B001252,1955,,-0.119,0.46,-578.55384,0.668,1432,257,,-0.184,0.681
112,House,20321,44,13,GA,100,0,1,"SCOTT, David",S001157,1945,,-0.301,0.167,-278.05604,0.82079,1408,100,,-0.351,0.132
112,House,21123,44,8,GA,200,0,1,"SCOTT, Austin",S001189,1969,,0.572,0.166,-177.70871,0.88206,1416,65,,0.605,0.098
112,House,21173,48,1,SC,200,0,1,"SCOTT, Tim",S001184,1965,,0.653,-0.013,-142.70448,0.9049,1428,58,,0.682,-0.006
112,House,39307,40,3,VA,100,0,1,"SCOTT, Robert C.",S000185,1947,,-0.451,0.011,-242.62072,0.84314,1422,98,,-0.398,-0.045
112,House,20713,82,2,HI,100,0,1,"HIRONO, Mazie",H001042,1947,,-0.487,-0.088,-152.14045,0.88668,1265,56,,-0.48,-0.091
112,House,29910,63,2,ID,200,0,1,"SIMPSON, Michael K.",S001148,1950,,0.293,0.279,-214.30216,0.85992,1420,79,,0.266,0.27
112,House,29346,21,1,IL,100,0,1,"RUSH, Bobby L.",R000515,1946,,-0.478,-0.203,-201.75122,0.85584,1296,87,,-0.559,-0.046
112,House,29585,21,2,IL,100,0,1,"JACKSON, Jesse L., Jr.",J000283,1965,,-0.538,-0.513,-118.4706,0.898,1096,54,,-0.582,-0.345
112,House,29573,49,18,TX,100,0,1,"JACKSON LEE, Sheila",J000032,1950,,-0.459,0.134,-286.89131,0.80142,1296,117,,-0.489,0.319
112,House,20508,21,3,IL,100,0,1,"LIPINSKI, Daniel",L000563,1966,,-0.233,0.182,-458.23154,0.72304,1413,194,,-0.231,0.154
112,House,20954,21,5,IL,100,0,1,"QUIGLEY, Mike",Q000023,1958,,-0.319,-0.288,-246.74063,0.84039,1419,94,,-0.304,-0.488
112,House,20715,21,6,IL,200,0,1,"ROSKAM, Peter",R000580,1961,,0.429,0.017,-187.34754,0.8755,1409,74,,0.404,0.153
112,House,29911,21,9,IL,100,0,1,"SCHAKOWSKY, Janice D.",S001145,1944,,-0.607,-0.263,-162.13533,0.89145,1411,74,,-0.655,-0.074
112,House,21127,21,10,IL,200,0,1,"DOLD, Robert",D000613,1969,,0.2,-0.199,-441.31963,0.732,1416,183,,0.212,-0.254
112,House,21128,21,11,IL,200,0,1,"KINZINGER, Adam",K000378,1978,,0.27,0.325,-242.01756,0.84248,1412,110,,0.295,0.254
112,House,15453,21,12,IL,100,0,1,"COSTELLO, Jerry Francis",C000794,1949,,-0.317,0.657,-517.30164,0.681,1348,231,,-0.302,0.506
112,House,29912,21,13,IL,200,0,1,"BIGGERT, Judy Borg",B001232,1937,,0.323,-0.372,-345.20194,0.784,1422,139,,0.238,-0.055
112,House,21129,21,14,IL,200,0,1,"HULTGREN, Randy",H001059,1966,,0.49,-0.036,-223.5163,0.8553,1430,96,,0.483,-0.106
112,House,29349,21,16,IL,200,0,1,"MANZULLO, Donald A.",M001138,1944,,0.51,0.0,-242.3032,0.837,1362,95,,0.535,-0.143
112,House,21130,21,17,IL,200,0,1,"SCHILLING, Bobby",S001182,1964,,0.364,0.009,-293.24931,0.812,1411,138,,0.369,-0.041
112,House,20914,21,18,IL,200,0,1,"SCHOCK, Aaron",S001179,1981,,0.311,0.185,-221.02747,0.852,1375,97,,0.281,0.249
112,House,29718,21,19,IL,200,0,1,"SHIMKUS, John M.",S000364,1958,,0.371,0.14,-236.56249,0.84423,1397,106,,0.303,0.287
112,House,15124,22,1,IN,100,0,1,"VISCLOSKY, Peter",V000108,1949,,-0.402,0.246,-372.83091,0.76444,1388,180,,-0.396,0.258
112,House,20717,22,2,IN,100,0,1,"DONNELLY, Joe",D000607,1955,,-0.119,0.434,-511.2679,0.68891,1372,243,,-0.178,0.563
112,House,21100,22,3,IN,200,0,1,"STUTZMAN, Marlin",S001188,1976,,0.742,-0.119,-160.42843,0.892,1400,67,,0.752,-0.113
112,House,21131,22,4,IN,200,0,1,"ROKITA, Todd",R000592,1970,,0.6,-0.16,-157.98327,0.89138,1374,67,,0.63,-0.071
112,House,15014,22,5,IN,200,0,1,"BURTON, Danny Lee",B001149,1938,,0.585,-0.026,-190.79715,0.864,1309,65,,0.616,-0.141
112,House,20117,22,6,IN,200,0,1,"PENCE, Mike",P000587,1959,,0.655,0.088,-125.08277,0.911,1341,50,,0.621,0.181
