sep=;
subject;predicate;object;score;path
Johnny Mowlem;/people/person/place_of_birth;London;5;Johnny Mowlem>Ecurie Ecosse>Edinburgh>London
Richard Vale;/people/person/place_of_birth;London;5;Richard Vale>England>London
Reginald Brett, 2nd Viscount Esher;/people/person/place_of_birth;London;5;Reginald Brett, 2nd Viscount Esher>Benjamin Disraeli>London
Terry Byrne;/people/person/place_of_birth;London;5;Terry Byrne>Chelsea F.C.>London
Antonia Okonma;/people/person/place_of_birth;London;5;Antonia Okonma>Bad Girls (TV series)>Amsterdam>London
Ursula Hoff;/people/person/place_of_birth;London;5;Ursula Hoff>British Museum>London
Mary Rose Young;/people/person/place_of_birth;London;-5;Mary Rose Young>United Kingdom>Cornish language>London
Neville Maxwell;/people/person/place_of_birth;London;5;Neville Maxwell>McGill University>British Columbia>London
Steven Alexander;/people/person/place_of_birth;London;5;Steven Alexander>New York University>Berlin>London
Sebastian Dacey;/people/person/place_of_birth;London;5;Sebastian Dacey>Berlin>London
George Stone (bishop);/people/person/place_of_birth;London;5;George Stone (bishop)>The Most Reverend>Anglican Communion>London
Alison Waters;/people/person/place_of_birth;London;5;Alison Waters>England>London
Robert Bourne (developer);/people/person/place_of_birth;London;5;Robert Bourne (developer)>entrepreneur>Corporation>London
George Georgiou;/people/person/place_of_birth;London;5;George Georgiou>Vanessa Winship>Balkans>London
Rhett Davies;/people/person/place_of_birth;London;5;Rhett Davies>English people>England>London
Zoe McConnell;/people/person/place_of_birth;London;-1;Zoe McConnell was not a valid article
David J. Farrar;/people/person/place_of_birth;London;5;David J. Farrar>surface-to-air missile>Albert Speer>London
William Main Page;/people/person/place_of_birth;London;5;William Main Page>Edinburgh>London
Frank Holl;/people/person/place_of_birth;London;5;Frank Holl>University College School>England>London
Stan Rosenthal;/people/person/place_of_birth;London;5;Stan Rosenthal was not a valid article
Christopher Hobbs;/people/person/place_of_birth;London;-5;Christopher Hobbs>composer>Classical period (music)>London
John Howard (author);/people/person/place_of_birth;London;5;John Howard (author)>Black Sea>Balkans>London
John Duncombe (writer);/people/person/place_of_birth;London;5;John Duncombe (writer)>England>London
Keith Wiggins;/people/person/place_of_birth;London;5;Keith Wiggins>Great Britain>England>London
Algernon Methuen;/people/person/place_of_birth;London;5;Algernon Methuen>publishing>European Union>London
Jay Neill (actor);/people/person/place_of_birth;London;5;Jay Neill (actor)>Doctor Who>London
Michael Swanton;/people/person/place_of_birth;London;5;Michael Swanton>literary critic>Copenhagen>London
Peter Dowdeswell;/people/person/place_of_birth;London;5;Peter Dowdeswell>recorded history>British Empire>London
John David Hennessey;/people/person/place_of_birth;London;5;John David Hennessey>Queensland>Arthur Phillip>London
Cliff Jones (musician);/people/person/place_of_birth;London;5;Cliff Jones (musician)>Britpop>Drum kit>London
Alfred Hackman;/people/person/place_of_birth;London;-5;Alfred Hackman>Bodleian Library>Francis Bacon>London
Malcolm Wakeford;/people/person/place_of_birth;London;-5;Little River Band>Fleetwood Mac>London
Robin Gillett;/people/person/place_of_birth;London;5;Robin Gillett>Lord Mayor of London>City of London>London
David Vaughan (dance archivist);/people/person/place_of_birth;London;5;David Vaughan (dance archivist)>The New York Times>Chicago>London
William Henry Anderdon;/people/person/place_of_birth;London;5;William Henry Anderdon>Dublin>London
Harry Zvi Tabor;/people/person/place_of_birth;London;5;Harry Zvi Tabor>physicist>Ibn al-Haytham>London
William Byrne (engraver);/people/person/place_of_birth;London;5;William Byrne (engraver)>Claude Lorrain>British Museum>London
Thomas Cole (minister);/people/person/place_of_birth;London;-5;Thomas Cole (minister)>Minister (Christianity)>Anglican Communion>London
Samuel Verblunsky;/people/person/place_of_birth;London;5;Samuel Verblunsky>Magdalene College, Cambridge>Archbishop of Canterbury>London
Janet Coster;/people/person/place_of_birth;London;5;Janet Coster>England>London
Graham Reilly;/people/person/place_of_birth;London;3;Graham Reilly>United Kingdom>Cornish language>London
Thalia Pellegrini;/people/person/place_of_birth;London;5;Thalia Pellegrini>England>London
Bertie Felstead;/people/person/place_of_birth;London;5;Bertie Felstead>England>London
Charles Mayo (Anglo-Saxon scholar);/people/person/place_of_birth;London;5;Charles Mayo (Anglo-Saxon scholar)>Merchant Taylors' School, Northwood>City of London>London
Abraham Aurelius;/people/person/place_of_birth;London;-3;Abraham Aurelius>Leyden>Amsterdam>London
Derrick Leon;/people/person/place_of_birth;London;5;Derrick Leon>John Ruskin>Edinburgh>London
Nick Grosso;/people/person/place_of_birth;London;5;Nick Grosso>Argentina>Federalism>London
George Russell French;/people/person/place_of_birth;London;5;George Russell French>Arthur Wellesley, 1st Duke of Wellington>London
Charles Kennedy Scott;/people/person/place_of_birth;London;-3;Charles Kennedy Scott>Romsey>Black Death>London
William Emery;/people/person/place_of_birth;London;5;William Emery>The Venerable>Anglican Communion>London
Andrew Waterman;/people/person/place_of_birth;London;5;Andrew Waterman>Andrew Waterman (poet)>Woodside, London>London Borough of Croydon>London
William Garnett (civil servant);/people/person/place_of_birth;London;5;William Garnett (civil servant)>Arthur William Garnett>Westmorland>England>London
Alice Harrison;/people/person/place_of_birth;London;5;Alice Harrison>Chicago>London
Ethel Merston;/people/person/place_of_birth;London;5;Ethel Merston>G. I. Gurdjieff>Berlin>London
Wally Stocker;/people/person/place_of_birth;London;5;Wally Stocker>The Babys>England>London
Dmitry Grigorieff;/people/person/place_of_birth;London;5;Dmitry Grigorieff>Dean (religion)>Anglican Communion>London
Gilbert John Arrow;/people/person/place_of_birth;London;5;Gilbert John Arrow>entomologist>Berlin>London
Sampson Low;/people/person/place_of_birth;London;5;Sampson Low>Soho>David Bowie>London
Peter G. Engelman;/people/person/place_of_birth;London;5;Peter G. Engelman>London, England>City of London>London
Mark Farmer (actor);/people/person/place_of_birth;London;5;Mark Farmer (actor)>Grange Hill>EastEnders>London
Joe Daly;/people/person/place_of_birth;London;5;Joe Daly>South Africa>British Empire>London
Isidor Clinton Rubin;/people/person/place_of_birth;London;-3;Isidor Clinton Rubin>Prussia>Berlin>London
Thomas Gerald Room;/people/person/place_of_birth;London;-5;Thomas Gerald Room>England>London
Mehran Khaghani;/people/person/place_of_birth;London;5;Mehran Khaghani>standup comedian>Edinburgh>London
Nigel Preston;/people/person/place_of_birth;London;5;Nigel Preston>England>London
Christopher Headington;/people/person/place_of_birth;London;5;Christopher Headington>England>London
John Barry (set designer);/people/person/place_of_birth;London;5;John Barry (set designer)>Star Wars (film)>Dr. Strangelove>London
Olivia Poulet;/people/person/place_of_birth;London;5;Olivia Poulet>England>London
Robert Briffault;/people/person/place_of_birth;London;1;Robert Briffault>social anthropologist>British Museum>London
Michael Jaffé;/people/person/place_of_birth;London;5;Michael Jaffé>England>London
Stephen Atkinson (metallurgist);/people/person/place_of_birth;London;-5;Stephen Atkinson (metallurgist)>Foster Lane>City of London>London
Barbara C. Freeman;/people/person/place_of_birth;London;-5;Barbara C. Freeman>Enid Blyton>London
Adrian Bowyer;/people/person/place_of_birth;London;5;Adrian Bowyer>Imperial College London>European Union>London
Robb Gravett;/people/person/place_of_birth;London;5;Robb Gravett>United Kingdom>Cornish language>London
Steve Laine;/people/person/place_of_birth;London;5;Steve Laine>Europe>London
David Smith (English politician);/people/person/place_of_birth;London;5;David Smith (English politician)>City of London>London
Gordon Jennings Laing;/people/person/place_of_birth;London;-3;Gordon Jennings Laing>United States>Federalism>London
Tom Arnold (politician);/people/person/place_of_birth;London;5;Tom Arnold (politician)>United Kingdom>Cornish language>London
Guy de Cointet;/people/person/place_of_birth;Paris;5;Guy de Cointet>École des Beaux-Arts de Nancy>Auguste Rodin>Paris
Nick Pugh;/people/person/place_of_birth;Paris;5;Nick Pugh>Europe>Paris
Renaud Gagneux;/people/person/place_of_birth;Paris;5;Renaud Gagneux>composer>Classical period (music)>Paris
Jean Gallon;/people/person/place_of_birth;Paris;5;Jean Gallon>composer>Classical period (music)>Paris
Jane Bathori;/people/person/place_of_birth;Paris;5;Jane Bathori>mezzo-soprano>Gioachino Rossini>Paris
Marcel Alexandre Bertrand;/people/person/place_of_birth;Paris;5;Marcel Alexandre Bertrand>France>French language>Paris
Abel Dimier;/people/person/place_of_birth;Paris;5;Abel Dimier>France>French language>Paris
Bernard Cassen;/people/person/place_of_birth;Paris;5;Bernard Cassen>ATTAC>European Union>Paris
René Renoult;/people/person/place_of_birth;Paris;5;René Renoult>France>French language>Paris
Farid Chopel;/people/person/place_of_birth;Paris;5;Farid Chopel>France>French language>Paris
François Maspero;/people/person/place_of_birth;Paris;5;François Maspero>France>French language>Paris
Thibaut de Reimpré;/people/person/place_of_birth;Paris;5;Thibaut de Reimpré>French people>French language>Paris
Charles Collé;/people/person/place_of_birth;Paris;5;Charles Collé>France>French language>Paris
Bertrand Lamarche;/people/person/place_of_birth;Paris;3;Bertrand Lamarche>Kate Bush>François Truffaut>Paris
Louis Godin;/people/person/place_of_birth;Paris;5;Louis Godin>France>French language>Paris
Elsa Lunghini;/people/person/place_of_birth;Paris;5;Elsa Lunghini>France>French language>Paris
Lucien Laurent Bonheur;/people/person/place_of_birth;Paris;5;Lucien Laurent Bonheur>The New York Times>Chicago>Paris
François-Anne David;/people/person/place_of_birth;Paris;5;François-Anne David>Line engraving>Florence>Paris
Jean Baptiste Claude Chatelain;/people/person/place_of_birth;Paris;5;Jean Baptiste Claude Chatelain>engraving>Albrecht Dürer>Paris
Gérard Granel;/people/person/place_of_birth;Paris;5;Gérard Granel>Bordeaux>Paris
Martin Malvy;/people/person/place_of_birth;Paris;5;Martin Malvy>President of the Regional Council (France)>Guadeloupe>Paris
Claude Piel;/people/person/place_of_birth;Paris;5;Claude Piel>Clermont-Ferrand>Augustus>Paris
Georges Henri Roger;/people/person/place_of_birth;Paris;5;Georges Henri Roger>physiologist>Galen>Paris
Albert Geouffre de Lapradelle;/people/person/place_of_birth;Paris;5;Albert Geouffre de Lapradelle>Columbia University>Paris
Claude Weisz;/people/person/place_of_birth;Paris;5;Claude Weisz>film director>European Union>Paris
Dominique Sanson;/people/person/place_of_birth;Paris;5;Dominique Sanson>France>French language>Paris
Armand Toussaint;/people/person/place_of_birth;Paris;5;Armand Toussaint>École nationale supérieure des Beaux-Arts>Jacques-Louis David>Paris
Hervé Alphand;/people/person/place_of_birth;Paris;5;Hervé Alphand>Ankara>Paris
Pierre Lecomte du Noüy;/people/person/place_of_birth;Paris;5;Pierre Lecomte du Noüy>New York City>Commuter rail>Paris
Alexandre Desgoffe;/people/person/place_of_birth;Paris;5;Alexandre Desgoffe>landscape art>Albrecht Dürer>Paris
Léonce Alloy;/people/person/place_of_birth;Paris;5;Léonce Alloy>France>French language>Paris
Catherine Keller (artist);/people/person/place_of_birth;Paris;5;Catherine Keller (artist)>sculpture>Alabaster>Paris
Patrick Lemarié;/people/person/place_of_birth;Paris;5;Patrick Lemarié>British American Racing>Monaco Grand Prix>Paris
Émile Lévy;/people/person/place_of_birth;Paris;5;Émile Lévy>France>French language>Paris
Pierre Cartellier;/people/person/place_of_birth;Paris;5;Pierre Cartellier>Jacques-Louis David>Paris
Yves Roucaute;/people/person/place_of_birth;Paris;5;Yves Roucaute>Baghdad>Paris
Marianne Peretti;/people/person/place_of_birth;Paris;5;Marianne Peretti>Brasília>Paris
Sébastien Denis;/people/person/place_of_birth;Paris;5;Sébastien Denis>France>French language>Paris
Claude Duflos;/people/person/place_of_birth;Paris;5;Claude Duflos>burin (engraving)>French language>Paris
François Lehideux;/people/person/place_of_birth;Paris;5;François Lehideux>Ford Motor Company>Detroit>Paris
Ibrahim Diarra;/people/person/place_of_birth;Paris;5;Ibrahim Diarra>France>French language>Paris
Philippe Risoli;/people/person/place_of_birth;Paris;5;Philippe Risoli>France>French language>Paris
Ernest Breton;/people/person/place_of_birth;Paris;5;Ernest Breton>Archaeology>Geodesy>Paris
Serge Collot;/people/person/place_of_birth;Paris;5;Serge Collot>Viola>Béla Bartók>Paris
Albert Vizentini;/people/person/place_of_birth;Paris;5;Albert Vizentini>Théâtre de l'Odéon>Arc de Triomphe>Paris
Hippolyte Cloquet;/people/person/place_of_birth;Paris;-3;Hippolyte Cloquet>olfaction>Chlorine>Paris
Antoine Verglas;/people/person/place_of_birth;Paris;5;Antoine Verglas>Claudia Schiffer>Brigitte Bardot>Paris
Cornélie Falcon;/people/person/place_of_birth;Paris;5;Cornélie Falcon>Google Books>Columbia University>Paris
Hélène Carrère d'Encausse;/people/person/place_of_birth;Paris;5;Hélène Carrère d'Encausse>France>French language>Paris
Charles Cotin;/people/person/place_of_birth;Paris;5;Charles Cotin>philosopher>Georg Wilhelm Friedrich Hegel>Paris
Yvette Giraud;/people/person/place_of_birth;Paris;5;Yvette Giraud>France>French language>Paris
Nikos Aliagas;/people/person/place_of_birth;Paris;5;Nikos Aliagas>France>French language>Paris
Marc Sangnier;/people/person/place_of_birth;Paris;5;Marc Sangnier>Pope Benedict XV>Europe>Paris
Georges Hugon;/people/person/place_of_birth;Paris;5;Georges Hugon>Gustave Flaubert>Paris
Ernst Friedrich;/people/person/place_of_birth;Paris;5;Ernst Friedrich was not a valid article
Marie Nicolas Sylvestre Guillon;/people/person/place_of_birth;Paris;5;Marie Nicolas Sylvestre Guillon>Napoleon>Jacques-Louis David>Paris
Constant Ferdinand Burille;/people/person/place_of_birth;Paris;3;Constant Ferdinand Burille>Boston>Commuter rail>Paris
Charles Nicholas Aubé;/people/person/place_of_birth;Paris;5;Charles Nicholas Aubé>entomologist>Berlin>Paris
Henri de Contenson;/people/person/place_of_birth;Paris;5;Henri de Contenson>Archaeologist>Geodesy>Paris
Marthe Chenal;/people/person/place_of_birth;Paris;5;Marthe Chenal>Sapho (Massenet)>Algiers>Paris
Jules Louis Lewal;/people/person/place_of_birth;Paris;5;Jules Louis Lewal>French intervention in Mexico>Édouard Manet>Paris
Frédéric Durieux;/people/person/place_of_birth;Paris;5;Frédéric Durieux>chamber music>Galen>Paris
Henri Nussbaumer;/people/person/place_of_birth;Paris;5;Henri Nussbaumer>Ecole Centrale Paris>Eiffel Tower>Paris
Robert Lecou;/people/person/place_of_birth;Paris;5;Robert Lecou>France>French language>Paris
Alain Ehrenberg;/people/person/place_of_birth;Paris;5;Alain Ehrenberg>Rennes>Bordeaux>Paris
Jean Noël Hallé;/people/person/place_of_birth;Paris;5;Jean Noël Hallé>Antoine Lavoisier>Paris
Léon Gimpel;/people/person/place_of_birth;Paris;5;Léon Gimpel>Strasbourg>European Union>Paris
David Bret;/people/person/place_of_birth;Paris;5;David Bret>working men's club>Europe>Paris
Jules de Gaultier;/people/person/place_of_birth;Paris;5;Jules de Gaultier>Boulogne-sur-Mer>French language>Paris
Louis Mazetier;/people/person/place_of_birth;Paris;5;Louis Mazetier>Paris Washboard>Europe>Paris
Nicolas Colibert;/people/person/place_of_birth;Paris;5;Nicolas Colibert>engraving>Albrecht Dürer>Paris
Julien Noël Costantin;/people/person/place_of_birth;Paris;-3;Julien Noël Costantin>Bordeaux>Paris
Jeanne Deroin;/people/person/place_of_birth;Paris;5;Jeanne Deroin>Olympe de Gouges>Autobiography>Paris
Theophilus de Garencières;/people/person/place_of_birth;Paris;5;Theophilus de Garencières>France>French language>Paris
François Pourfour du Petit;/people/person/place_of_birth;Paris;-1;François Pourfour du Petit>ophthalmologist>Galen>Paris
René Mayer;/people/person/place_of_birth;Paris;5;René Mayer>Prime Minister of France>Bordeaux>Paris
Françoise Claustre;/people/person/place_of_birth;Paris;5;Françoise Claustre>France>French language>Paris
Florent Fidèle Constant Bourgeois;/people/person/place_of_birth;Paris;5;Florent Fidèle Constant Bourgeois>Jacques-Louis David>Paris
Jean Cotelle;/people/person/place_of_birth;Paris;5;Jean Cotelle>Masterpiece>French language>Paris
Adolphe Cohn;/people/person/place_of_birth;Paris;5;Adolphe Cohn>French language>Paris
Jacques d'Agar;/people/person/place_of_birth;Paris;5;Jacques d'Agar>Copenhagen>Paris
André Léri;/people/person/place_of_birth;Paris;5;André Léri>Berlin>Paris
Laurent Boyer;/people/person/place_of_birth;Paris;5;Laurent Boyer>France>French language>Paris
Gabriel Bertrand;/people/person/place_of_birth;Paris;5;Gabriel Bertrand>Institut Pasteur>Bacteriophage>Paris
Germinal Pierre Dandelin;/people/person/place_of_birth;Paris;-3;Germinal Pierre Dandelin>Ghent>Paris
Henry Lerolle;/people/person/place_of_birth;Paris;5;Henry Lerolle>Berthe Morisot>Paris
Louis Dorléans;/people/person/place_of_birth;Paris;5;Louis Dorléans>France>French language>Paris
Paul Lacroix;/people/person/place_of_birth;Paris;5;Paul Lacroix>Napoleon III>Fontainebleau>Paris
Yannick Pouliot;/people/person/place_of_birth;Paris;5;Yannick Pouliot was not a valid article
Christelle Lefranc;/people/person/place_of_birth;Paris;1;Christelle Lefranc>Barcelona>Paris
Lola Artôt de Padilla;/people/person/place_of_birth;Paris;-5;Lola Artôt de Padilla>Sèvres>Dominican Order>Paris
Jacques Autreau;/people/person/place_of_birth;Paris;5;Jacques Autreau>Palace of Versailles>Eiffel Tower>Paris
Hugues Krafft;/people/person/place_of_birth;Paris;5;Hugues Krafft>Japan>Europe>Paris
Dumont de Montigny;/people/person/place_of_birth;Paris;5;Dumont de Montigny>Chicago>Paris
Pierre Joxe;/people/person/place_of_birth;Paris;5;Pierre Joxe>Minister of the Interior (France)>French Armed Forces>Paris
Mathieu Blin;/people/person/place_of_birth;Paris;5;Mathieu Blin>rugby union>Dublin>Paris
Joseph Naudet;/people/person/place_of_birth;Paris;-3;Joseph Naudet>historian>David Hume>Paris
Noël Gallon;/people/person/place_of_birth;Paris;5;Noël Gallon>composer>Classical period (music)>Paris
Alfred Darjou;/people/person/place_of_birth;Paris;5;Alfred Darjou>Hôtel de Ville, Paris>Auguste Rodin>Paris
Michio Ihara;/people/person/place_of_birth;Paris;5;Michio Ihara>Kinetic sculpture>Claude Monet>Paris
Henri Perreyve;/people/person/place_of_birth;Paris;5;Henri Perreyve>Oratory of Jesus>Cardinal (Catholic Church)>Paris
Leon Athanese Gosselin;/people/person/place_of_birth;Paris;3;Léon Athanese Gosselin>Faculté de Médecine de Paris>Guild>Paris
Eugène Brieux;/people/person/place_of_birth;Paris;5;Eugène Brieux>dramatist>Athens>Paris
Jan Bull;/people/person/place_of_birth;Paris;5;Jan Bull>Norway>European Union>Paris
Morris Bear Squire;/people/person/place_of_birth;Chicago;5;Morris Bear Squire>Illinois>Chicago
Johanna Meier;/people/person/place_of_birth;Chicago;5;Johanna Meier>United States of America>North America>Chicago
James Adler;/people/person/place_of_birth;Chicago;5;James Adler>London>Chicago
Wolfgang Baur;/people/person/place_of_birth;Chicago;5;Wolfgang Baur>Illinois>Chicago
Paul Willis (actor);/people/person/place_of_birth;Chicago;5;Paul Willis (actor)>Illinois>Chicago
Al Cotey;/people/person/place_of_birth;Chicago;5;Al Cotey>Chicago, Illinois>Commuter rail>Chicago
Arthur Yoria;/people/person/place_of_birth;Chicago;5;Arthur Yoria>Houston>Chicago
Thomas R. Fitzgerald;/people/person/place_of_birth;Chicago;5;Thomas Fitzgerald>Tom Fitzgerald (ice hockey)>National Hockey League>Chicago
Kip King;/people/person/place_of_birth;Chicago;5;Kip King>Chicago, Illinois>Commuter rail>Chicago
Wallace Bishop;/people/person/place_of_birth;Chicago;5;Wallace Bishop>Illinois>Chicago
Raymond Monsour Scurfield;/people/person/place_of_birth;Chicago;5;Raymond Monsour Scurfield>Los Angeles>Chicago
Carl R. Chindblom;/people/person/place_of_birth;Chicago;5;Carl R. Chindblom>Illinois>Chicago
Mary Jayne Gold;/people/person/place_of_birth;Chicago;5;Mary Jayne Gold>Illinois>Chicago
Axel Leonard Melander;/people/person/place_of_birth;Chicago;5;Axel Leonard Melander>Chicago, Illinois>Commuter rail>Chicago
Dino Wells;/people/person/place_of_birth;Chicago;5;Dino Wells>Prison Break>Los Angeles>Chicago
Joe Zakas;/people/person/place_of_birth;Chicago;5;Joe Zakas>Daniel Anthony Manion>Knute Rockne>Chicago
Tim McGill;/people/person/place_of_birth;Chicago;5;Tim McGill>College football>Chicago
Ron Westrum;/people/person/place_of_birth;Chicago;5;Ron Westrum>sociology>Herbert A. Simon>Chicago
