subject;predicate;object;score;path
Robert Briffault;/people/person/place_of_birth;London;1;Robert Briffault
Michael Jaffé;/people/person/place_of_birth;London;5;Michael Jaffé
Stephen Atkinson (metallurgist);/people/person/place_of_birth;London;-5;Stephen Atkinson (metallurgist)
Barbara C. Freeman;/people/person/place_of_birth;London;-5;Barbara C. Freeman
Adrian Bowyer;/people/person/place_of_birth;London;5;Adrian Bowyer
Robb Gravett;/people/person/place_of_birth;London;5;Robb Gravett
Steve Laine;/people/person/place_of_birth;London;5;Steve Laine
David Smith (English politician);/people/person/place_of_birth;London;5;David Smith (English politician)
Gordon Jennings Laing;/people/person/place_of_birth;London;-3;Gordon Jennings Laing
Tom Arnold (politician);/people/person/place_of_birth;London;5;Tom Arnold (politician)
Guy de Cointet;/people/person/place_of_birth;Paris;5;Guy de Cointet
Nick Pugh;/people/person/place_of_birth;Paris;5;Nick Pugh
Renaud Gagneux;/people/person/place_of_birth;Paris;5;Renaud Gagneux
Jean Gallon;/people/person/place_of_birth;Paris;5;Jean Gallon
Jane Bathori;/people/person/place_of_birth;Paris;5;Jane Bathori
Marcel Alexandre Bertrand;/people/person/place_of_birth;Paris;5;Marcel Alexandre Bertrand
Abel Dimier;/people/person/place_of_birth;Paris;5;Abel Dimier
Bernard Cassen;/people/person/place_of_birth;Paris;5;Bernard Cassen
René Renoult;/people/person/place_of_birth;Paris;5;René Renoult
Farid Chopel;/people/person/place_of_birth;Paris;5;Farid Chopel
François Maspero;/people/person/place_of_birth;Paris;5;François Maspero
Thibaut de Reimpré;/people/person/place_of_birth;Paris;5;Thibaut de Reimpré
Charles Collé;/people/person/place_of_birth;Paris;5;Charles Collé
Bertrand Lamarche;/people/person/place_of_birth;Paris;3;Bertrand Lamarche
Louis Godin;/people/person/place_of_birth;Paris;5;Louis Godin
Elsa Lunghini;/people/person/place_of_birth;Paris;5;Elsa Lunghini
Lucien Laurent Bonheur;/people/person/place_of_birth;Paris;5;Lucien Laurent Bonheur
François-Anne David;/people/person/place_of_birth;Paris;5;François-Anne David
Jean Baptiste Claude Chatelain;/people/person/place_of_birth;Paris;5;Jean Baptiste Claude Chatelain
Gérard Granel;/people/person/place_of_birth;Paris;5;Gérard Granel
Martin Malvy;/people/person/place_of_birth;Paris;5;Martin Malvy
Claude Piel;/people/person/place_of_birth;Paris;5;Claude Piel
Georges Henri Roger;/people/person/place_of_birth;Paris;5;Georges Henri Roger
Albert Geouffre de Lapradelle;/people/person/place_of_birth;Paris;5;Albert Geouffre de Lapradelle
Claude Weisz;/people/person/place_of_birth;Paris;5;Claude Weisz
Dominique Sanson;/people/person/place_of_birth;Paris;5;Dominique Sanson
Armand Toussaint;/people/person/place_of_birth;Paris;5;Armand Toussaint
Hervé Alphand;/people/person/place_of_birth;Paris;5;Hervé Alphand
Pierre Lecomte du Noüy;/people/person/place_of_birth;Paris;5;Pierre Lecomte du Noüy
Alexandre Desgoffe;/people/person/place_of_birth;Paris;5;Alexandre Desgoffe
Léonce Alloy;/people/person/place_of_birth;Paris;5;Léonce Alloy
Catherine Keller (artist);/people/person/place_of_birth;Paris;5;Catherine Keller (artist)
Patrick Lemarié;/people/person/place_of_birth;Paris;5;Patrick Lemarié
Émile Lévy;/people/person/place_of_birth;Paris;5;Émile Lévy
Pierre Cartellier;/people/person/place_of_birth;Paris;5;Pierre Cartellier
Yves Roucaute;/people/person/place_of_birth;Paris;5;Yves Roucaute
Marianne Peretti;/people/person/place_of_birth;Paris;5;Marianne Peretti
Sébastien Denis;/people/person/place_of_birth;Paris;5;Sébastien Denis
Claude Duflos;/people/person/place_of_birth;Paris;5;Claude Duflos
François Lehideux;/people/person/place_of_birth;Paris;5;François Lehideux
Ibrahim Diarra;/people/person/place_of_birth;Paris;5;Ibrahim Diarra
Philippe Risoli;/people/person/place_of_birth;Paris;5;Philippe Risoli
Ernest Breton;/people/person/place_of_birth;Paris;5;Ernest Breton
Serge Collot;/people/person/place_of_birth;Paris;5;Serge Collot
Albert Vizentini;/people/person/place_of_birth;Paris;5;Albert Vizentini
Hippolyte Cloquet;/people/person/place_of_birth;Paris;-3;Hippolyte Cloquet
Antoine Verglas;/people/person/place_of_birth;Paris;5;Antoine Verglas
Cornélie Falcon;/people/person/place_of_birth;Paris;5;Cornélie Falcon
Hélène Carrère d'Encausse;/people/person/place_of_birth;Paris;5;Hélène Carrère d'Encausse
Charles Cotin;/people/person/place_of_birth;Paris;5;Charles Cotin
Yvette Giraud;/people/person/place_of_birth;Paris;5;Yvette Giraud
Nikos Aliagas;/people/person/place_of_birth;Paris;5;Nikos Aliagas
Marc Sangnier;/people/person/place_of_birth;Paris;5;Marc Sangnier
Georges Hugon;/people/person/place_of_birth;Paris;5;Georges Hugon
Ernst Friedrich;/people/person/place_of_birth;Paris;5;Ernst Friedrich
Marie Nicolas Sylvestre Guillon;/people/person/place_of_birth;Paris;5;Marie Nicolas Sylvestre Guillon
Constant Ferdinand Burille;/people/person/place_of_birth;Paris;3;Constant Ferdinand Burille
Charles Nicholas Aubé;/people/person/place_of_birth;Paris;5;Charles Nicholas Aubé
Henri de Contenson;/people/person/place_of_birth;Paris;5;Henri de Contenson
Marthe Chenal;/people/person/place_of_birth;Paris;5;Marthe Chenal
Jules Louis Lewal;/people/person/place_of_birth;Paris;5;Jules Louis Lewal
Frédéric Durieux;/people/person/place_of_birth;Paris;5;Frédéric Durieux
Henri Nussbaumer;/people/person/place_of_birth;Paris;5;Henri Nussbaumer
Robert Lecou;/people/person/place_of_birth;Paris;5;Robert Lecou
Alain Ehrenberg;/people/person/place_of_birth;Paris;5;Alain Ehrenberg
Jean Noël Hallé;/people/person/place_of_birth;Paris;5;Jean Noël Hallé
Léon Gimpel;/people/person/place_of_birth;Paris;5;Léon Gimpel
David Bret;/people/person/place_of_birth;Paris;5;David Bret
Jules de Gaultier;/people/person/place_of_birth;Paris;5;Jules de Gaultier
Louis Mazetier;/people/person/place_of_birth;Paris;5;Louis Mazetier
Nicolas Colibert;/people/person/place_of_birth;Paris;5;Nicolas Colibert
Julien Noël Costantin;/people/person/place_of_birth;Paris;-3;Julien Noël Costantin
Jeanne Deroin;/people/person/place_of_birth;Paris;5;Jeanne Deroin
Theophilus de Garencières;/people/person/place_of_birth;Paris;5;Theophilus de Garencières
François Pourfour du Petit;/people/person/place_of_birth;Paris;-1;François Pourfour du Petit
René Mayer;/people/person/place_of_birth;Paris;5;René Mayer
Françoise Claustre;/people/person/place_of_birth;Paris;5;Françoise Claustre
Florent Fidèle Constant Bourgeois;/people/person/place_of_birth;Paris;5;Florent Fidèle Constant Bourgeois
Jean Cotelle;/people/person/place_of_birth;Paris;5;Jean Cotelle
Adolphe Cohn;/people/person/place_of_birth;Paris;5;Adolphe Cohn
Jacques d'Agar;/people/person/place_of_birth;Paris;5;Jacques d'Agar
André Léri;/people/person/place_of_birth;Paris;5;André Léri
Laurent Boyer;/people/person/place_of_birth;Paris;5;Laurent Boyer
Gabriel Bertrand;/people/person/place_of_birth;Paris;5;Gabriel Bertrand
Germinal Pierre Dandelin;/people/person/place_of_birth;Paris;-3;Germinal Pierre Dandelin
Henry Lerolle;/people/person/place_of_birth;Paris;5;Henry Lerolle
Louis Dorléans;/people/person/place_of_birth;Paris;5;Louis Dorléans
Paul Lacroix;/people/person/place_of_birth;Paris;5;Paul Lacroix
Yannick Pouliot;/people/person/place_of_birth;Paris;5;Yannick Pouliot
Christelle Lefranc;/people/person/place_of_birth;Paris;1;Christelle Lefranc
Lola Artôt de Padilla;/people/person/place_of_birth;Paris;-5;Lola Artôt de Padilla
Jacques Autreau;/people/person/place_of_birth;Paris;5;Jacques Autreau
Hugues Krafft;/people/person/place_of_birth;Paris;5;Hugues Krafft
Dumont de Montigny;/people/person/place_of_birth;Paris;5;Dumont de Montigny
Pierre Joxe;/people/person/place_of_birth;Paris;5;Pierre Joxe
Mathieu Blin;/people/person/place_of_birth;Paris;5;Mathieu Blin
Joseph Naudet;/people/person/place_of_birth;Paris;-3;Joseph Naudet
Noël Gallon;/people/person/place_of_birth;Paris;5;Noël Gallon
Alfred Darjou;/people/person/place_of_birth;Paris;5;Alfred Darjou
Michio Ihara;/people/person/place_of_birth;Paris;5;Michio Ihara
Henri Perreyve;/people/person/place_of_birth;Paris;5;Henri Perreyve
Leon Athanese Gosselin;/people/person/place_of_birth;Paris;3;Leon Athanese Gosselin
Eugène Brieux;/people/person/place_of_birth;Paris;5;Eugène Brieux
Jan Bull;/people/person/place_of_birth;Paris;5;Jan Bull
Morris Bear Squire;/people/person/place_of_birth;Chicago;5;Morris Bear Squire
Johanna Meier;/people/person/place_of_birth;Chicago;5;Johanna Meier
James Adler;/people/person/place_of_birth;Chicago;5;James Adler
Wolfgang Baur;/people/person/place_of_birth;Chicago;5;Wolfgang Baur
Paul Willis (actor);/people/person/place_of_birth;Chicago;5;Paul Willis (actor)
Al Cotey;/people/person/place_of_birth;Chicago;5;Al Cotey
Arthur Yoria;/people/person/place_of_birth;Chicago;5;Arthur Yoria
Thomas R. Fitzgerald;/people/person/place_of_birth;Chicago;5;Thomas R. Fitzgerald
Kip King;/people/person/place_of_birth;Chicago;5;Kip King
Wallace Bishop;/people/person/place_of_birth;Chicago;5;Wallace Bishop
Raymond Monsour Scurfield;/people/person/place_of_birth;Chicago;5;Raymond Monsour Scurfield
Carl R. Chindblom;/people/person/place_of_birth;Chicago;5;Carl R. Chindblom
Mary Jayne Gold;/people/person/place_of_birth;Chicago;5;Mary Jayne Gold
Axel Leonard Melander;/people/person/place_of_birth;Chicago;5;Axel Leonard Melander
Dino Wells;/people/person/place_of_birth;Chicago;5;Dino Wells
Joe Zakas;/people/person/place_of_birth;Chicago;5;Joe Zakas
Tim McGill;/people/person/place_of_birth;Chicago;5;Tim McGill
Ron Westrum;/people/person/place_of_birth;Chicago;5;Ron Westrum
Raymond R. Schumacher;/people/person/place_of_birth;Chicago;5;Raymond R. Schumacher
Jack Petticord;/people/person/place_of_birth;Chicago;5;Jack Petticord
Robert E. Merriam;/people/person/place_of_birth;Chicago;5;Robert E. Merriam
Phillip Jackson (American politician);/people/person/place_of_birth;Chicago;5;Phillip Jackson (American politician)
David Schrader;/people/person/place_of_birth;Chicago;5;David Schrader
Charlene McMann;/people/person/place_of_birth;Chicago;5;Charlene McMann
Brian Bram;/people/person/place_of_birth;Chicago;5;Brian Bram
No I.D.;/people/person/place_of_birth;Chicago;3;No I.D.
Ed Rossbach;/people/person/place_of_birth;Chicago;5;Ed Rossbach
Stewart G. Honeck;/people/person/place_of_birth;Chicago;5;Stewart G. Honeck
Rick Holbrook;/people/person/place_of_birth;Chicago;5;Rick Holbrook
Frank Kaderabek;/people/person/place_of_birth;Chicago;5;Frank Kaderabek
Dean Richards (reporter);/people/person/place_of_birth;Chicago;-1;Dean Richards (reporter)
Steve Bjorklund;/people/person/place_of_birth;Chicago;5;Steve Bjorklund
Leslie Allen (racing driver);/people/person/place_of_birth;Chicago;5;Leslie Allen (racing driver)
James Burnham;/people/person/place_of_birth;Chicago;5;James Burnham
Ruth Fuller Sasaki;/people/person/place_of_birth;Chicago;5;Ruth Fuller Sasaki
Bernard Brodie (military strategist);/people/person/place_of_birth;Chicago;5;Bernard Brodie (military strategist)
William Kraft;/people/person/place_of_birth;Chicago;5;William Kraft
Louis Antonelli;/people/person/place_of_birth;Chicago;5;Louis Antonelli
Dennis Rea;/people/person/place_of_birth;Chicago;5;Dennis Rea
Nick Dranias;/people/person/place_of_birth;Chicago;5;Nick Dranias
Mary Lou Munts;/people/person/place_of_birth;Chicago;5;Mary Lou Munts
Joel Honig;/people/person/place_of_birth;Chicago;5;Joel Honig
Daniel M. Hausman;/people/person/place_of_birth;Chicago;5;Daniel M. Hausman
Michael Colgrass;/people/person/place_of_birth;Chicago;5;Michael Colgrass
John Mann Goggin;/people/person/place_of_birth;Chicago;5;John Mann Goggin
Fenton Johnson (poet);/people/person/place_of_birth;Chicago;5;Fenton Johnson (poet)
Donald Kalish;/people/person/place_of_birth;Chicago;5;Donald Kalish
Lowrell Simon;/people/person/place_of_birth;Chicago;5;Lowrell Simon
Jacques Benedict;/people/person/place_of_birth;Chicago;5;Jacques Benedict
Steve Miller (athletics);/people/person/place_of_birth;Chicago;5;Steve Miller (athletics)
Bill Barminski;/people/person/place_of_birth;Chicago;5;Bill Barminski
Vincent A. Mahler;/people/person/place_of_birth;Chicago;3;Vincent A. Mahler
Nathan B. Spingold;/people/person/place_of_birth;Chicago;5;Nathan B. Spingold
Paul Conway (archivist);/people/person/place_of_birth;Chicago;5;Paul Conway (archivist)
William Francis Whitman, Jr.;/people/person/place_of_birth;Chicago;5;William Francis Whitman, Jr.
Wendy White (mezzo-soprano);/people/person/place_of_birth;Chicago;5;Wendy White (mezzo-soprano)
Byron Morrow;/people/person/place_of_birth;Chicago;5;Byron Morrow
Francis Davis;/people/person/place_of_birth;Philadelphia;5;Francis Davis
Jim Boyd (actor);/people/person/place_of_birth;Philadelphia;5;Jim Boyd (actor)
Spencer Wishart;/people/person/place_of_birth;Philadelphia;5;Spencer Wishart
Daniel Spielman;/people/person/place_of_birth;Philadelphia;5;Daniel Spielman
Joel Myers;/people/person/place_of_birth;Philadelphia;-5;Joel Myers
Edwin Milton Abbott;/people/person/place_of_birth;Philadelphia;5;Edwin Milton Abbott
Festus Walters;/people/person/place_of_birth;Philadelphia;1;Festus Walters
Freddy Winnai;/people/person/place_of_birth;Philadelphia;5;Freddy Winnai
Harrison Allen;/people/person/place_of_birth;Philadelphia;5;Harrison Allen
Benjamin Franklin Bache (journalist);/people/person/place_of_birth;Philadelphia;-3;Benjamin Franklin Bache (journalist)
Johnny Zito;/people/person/place_of_birth;Philadelphia;-3;Johnny Zito
Tom Mattera;/people/person/place_of_birth;Philadelphia;5;Tom Mattera
Jeff Chandler (boxer);/people/person/place_of_birth;Philadelphia;5;Jeff Chandler (boxer)
Dick Stockton;/people/person/place_of_birth;Philadelphia;5;Dick Stockton
Stanley Corrsin;/people/person/place_of_birth;Philadelphia;5;Stanley Corrsin
James Zug;/people/person/place_of_birth;Philadelphia;5;James Zug
Richie Dent;/people/person/place_of_birth;Philadelphia;5;Richie Dent
Andrew Repasky McElhinney;/people/person/place_of_birth;Philadelphia;5;Andrew Repasky McElhinney
Gloria Mann;/people/person/place_of_birth;Philadelphia;5;Gloria Mann
Tony Trov;/people/person/place_of_birth;Philadelphia;-5;Tony Trov
Sasha Neulinger;/people/person/place_of_birth;Philadelphia;5;Sasha Neulinger
Bernie Lowe;/people/person/place_of_birth;Philadelphia;5;Bernie Lowe
Stanley Sporkin;/people/person/place_of_birth;Philadelphia;5;Stanley Sporkin
Leon Bass;/people/person/place_of_birth;Philadelphia;5;Leon Bass
Thomas Pole;/people/person/place_of_birth;Philadelphia;5;Thomas Pole
Barry Lee Myers;/people/person/place_of_birth;Philadelphia;-3;Barry Lee Myers
Gregory V. Palmer;/people/person/place_of_birth;Philadelphia;5;Gregory V. Palmer
Dave Mazzoni;/people/person/place_of_birth;Philadelphia;5;Dave Mazzoni
Edwin E. Wagner;/people/person/place_of_birth;Philadelphia;5;Edwin E. Wagner
Frank J. Webb;/people/person/place_of_birth;Philadelphia;5;Frank J. Webb
Lawrence Townsend;/people/person/place_of_birth;Philadelphia;5;Lawrence Townsend
Lou Stein;/people/person/place_of_birth;Philadelphia;5;Lou Stein
Terry Smith (radio);/people/person/place_of_birth;Philadelphia;-3;Terry Smith (radio)
Graham Salisbury;/people/person/place_of_birth;Philadelphia;5;Graham Salisbury
Henry Taylor (boxer);/people/person/place_of_birth;Philadelphia;5;Henry Taylor (boxer)
Thomas Wright Rudderow;/people/person/place_of_birth;Philadelphia;5;Thomas Wright Rudderow
Susan Denin;/people/person/place_of_birth;Philadelphia;5;Susan Denin
Seymour S. Kety;/people/person/place_of_birth;Philadelphia;-3;Seymour S. Kety
George Brunner (composer);/people/person/place_of_birth;Philadelphia;5;George Brunner (composer)
Frederick Fraley;/people/person/place_of_birth;Philadelphia;5;Frederick Fraley
Paul Pope;/people/person/place_of_birth;Philadelphia;5;Paul Pope
Spencer Bonfiglio;/people/person/place_of_birth;Philadelphia;5;Spencer Bonfiglio
Stephen William White;/people/person/place_of_birth;Philadelphia;5;Stephen William White
Eric Ash;/people/person/place_of_birth;Berlin;5;Eric Ash
Oskar Simon;/people/person/place_of_birth;Berlin;-5;Oskar Simon
Heinz Oestergaard;/people/person/place_of_birth;Berlin;5;Heinz Oestergaard
Joachim Martin Falbe;/people/person/place_of_birth;Berlin;5;Joachim Martin Falbe
Walter Ehrlich;/people/person/place_of_birth;Berlin;5;Walter Ehrlich
Peter Lachmann;/people/person/place_of_birth;Berlin;5;Peter Lachmann
Leopold Casper;/people/person/place_of_birth;Berlin;5;Leopold Casper
Avner W. Less;/people/person/place_of_birth;Berlin;5;Avner W. Less
Walther Kruse;/people/person/place_of_birth;Berlin;-5;Walther Kruse
Albert Heinrich Brendel;/people/person/place_of_birth;Berlin;5;Albert Heinrich Brendel
Robert Welch (Wisconsin politician);/people/person/place_of_birth;Berlin;-3;Robert Welch (Wisconsin politician)
Hans Reiche;/people/person/place_of_birth;Berlin;5;Hans Reiche
William Charles Brenke;/people/person/place_of_birth;Berlin;5;William Charles Brenke
Carl Strehl;/people/person/place_of_birth;Berlin;5;Carl Strehl
