subject;predicate;object;score
John Henry Haaren;/people/person/place_of_birth;New York City;5
Tanya Vidal;/people/person/place_of_birth;New York City;1
Abe Goldstein;/people/person/place_of_birth;New York City;5
Florence Nightingale Levy;/people/person/place_of_birth;New York City;5
John Clinton Gray;/people/person/place_of_birth;New York City;5
Bayard Clarke;/people/person/place_of_birth;New York City;5
Sondra Lipton;/people/person/place_of_birth;New York City;-1
Steve Kaplan;/people/person/place_of_birth;New York City;1
Edmund Milton Holland;/people/person/place_of_birth;New York City;5
Charles Henry Webb;/people/person/place_of_birth;New York City;1
Sara Berman (philanthropist);/people/person/place_of_birth;New York City;5
Sidney Jonas Budnick;/people/person/place_of_birth;New York City;5
Thomas F. Burchill;/people/person/place_of_birth;New York City;3
Harold Jacoby;/people/person/place_of_birth;New York City;5
Frederic Taber Cooper;/people/person/place_of_birth;New York City;5
Daniel Pagano;/people/person/place_of_birth;New York City;1
James Sibley Watson;/people/person/place_of_birth;New York City;-1
Jacob Mishler;/people/person/place_of_birth;New York City;5
Eric Chester;/people/person/place_of_birth;New York City;5
Anahid Ajemian;/people/person/place_of_birth;New York City;1
Mike Siegel;/people/person/place_of_birth;New York City;-5
Joan Mahoney;/people/person/place_of_birth;New York City;5
John Boylan (record producer);/people/person/place_of_birth;New York City;5
Lee Delano;/people/person/place_of_birth;New York City;3
Gregory McMahon;/people/person/place_of_birth;New York City;5
Sylvia Pressler;/people/person/place_of_birth;New York City;5
Andrew Litton;/people/person/place_of_birth;New York City;5
Luis Monge;/people/person/place_of_birth;New York City;-5
