"";"London"
"George Georgiou";"George Georgiou>Vanessa Winship>Balkans>London"
"Rhett Davies";"Rhett Davies>English people>England>London"
"Zoe McConnell";"Zoe McConnell was not a valid article"
"David J. Farrar";"David J. Farrar>surface-to-air missile>Albert Speer>London"
"William Main Page";"William Main Page>Edinburgh>London"
"Frank Holl";"Frank Holl>University College School>England>London"
"Stan Rosenthal";"Stan Rosenthal was not a valid article"
"Christopher Hobbs";"Christopher Hobbs>composer>Classical period (music)>London"
"John Howard (author)";"John Howard (author)>Black Sea>Balkans>London"
"John Duncombe (writer)";"John Duncombe (writer)>England>London"
"Keith Wiggins";"Keith Wiggins>Great Britain>England>London"
"Algernon Methuen";"Algernon Methuen>publishing>European Union>London"
"Jay Neill (actor)";"Jay Neill (actor)>Doctor Who>London"
"Michael Swanton";"Michael Swanton>literary critic>Copenhagen>London"
"Peter Dowdeswell";"Peter Dowdeswell>recorded history>British Empire>London"
"John David Hennessey";"John David Hennessey>Queensland>Arthur Phillip>London"
"Cliff Jones (musician)";"Cliff Jones (musician)>Britpop>Drum kit>London"
"Alfred Hackman";"Alfred Hackman>Bodleian Library>Francis Bacon>London"
"Malcolm Wakeford";"Little River Band>Fleetwood Mac>London"
"Robin Gillett";"Robin Gillett>Lord Mayor of London>City of London>London"
"David Vaughan (dance archivist)";"David Vaughan (dance archivist)>The New York Times>Chicago>London"
"William Henry Anderdon";"William Henry Anderdon>Dublin>London"
"Harry Zvi Tabor";"Harry Zvi Tabor>physicist>Ibn al-Haytham>London"
"William Byrne (engraver)";"William Byrne (engraver)>Claude Lorrain>British Museum>London"
"Thomas Cole (minister)";"Thomas Cole (minister)>Minister (Christianity)>Anglican Communion>London"
"Samuel Verblunsky";"Samuel Verblunsky>Magdalene College, Cambridge>Archbishop of Canterbury>London"
"Janet Coster";"Janet Coster>England>London"
"Graham Reilly";"Graham Reilly>United Kingdom>Cornish language>London"
"Thalia Pellegrini";"Thalia Pellegrini>England>London"
"Bertie Felstead";"Bertie Felstead>England>London"
"Charles Mayo (Anglo-Saxon scholar)";"Charles Mayo (Anglo-Saxon scholar)>Merchant Taylors' School, Northwood>City of London>London"
"Abraham Aurelius";"Abraham Aurelius>Leyden>Amsterdam>London"
"Derrick Leon";"Derrick Leon>John Ruskin>Edinburgh>London"
"Nick Grosso";"Nick Grosso>Argentina>Federalism>London"
"George Russell French";"George Russell French>Arthur Wellesley, 1st Duke of Wellington>London"
"Charles Kennedy Scott";"Charles Kennedy Scott>Romsey>Black Death>London"
"William Emery";"William Emery>The Venerable>Anglican Communion>London"
"Andrew Waterman";"Andrew Waterman>Andrew Waterman (poet)>Woodside, London>London Borough of Croydon>London"
"William Garnett (civil servant)";"William Garnett (civil servant)>Arthur William Garnett>Westmorland>England>London"
"Alice Harrison";"Alice Harrison>Chicago>London"
"Ethel Merston";"Ethel Merston>G. I. Gurdjieff>Berlin>London"
"Wally Stocker";"Wally Stocker>The Babys>England>London"
"Dmitry Grigorieff";"Dmitry Grigorieff>Dean (religion)>Anglican Communion>London"
"Gilbert John Arrow";"Gilbert John Arrow>entomologist>Berlin>London"
"Sampson Low";"Sampson Low>Soho>David Bowie>London"
"Peter G. Engelman";"Peter G. Engelman>London, England>City of London>London"
"Mark Farmer (actor)";"Mark Farmer (actor)>Grange Hill>EastEnders>London"
"Joe Daly";"Joe Daly>South Africa>British Empire>London"
"Isidor Clinton Rubin";"Isidor Clinton Rubin>Prussia>Berlin>London"
"Thomas Gerald Room";"Thomas Gerald Room>England>London"
"Mehran Khaghani";"Mehran Khaghani>standup comedian>Edinburgh>London"
"Nigel Preston";"Nigel Preston>England>London"
"Christopher Headington";"Christopher Headington>England>London"
"John Barry (set designer)";"John Barry (set designer)>Star Wars (film)>Dr. Strangelove>London"
"Olivia Poulet";"Olivia Poulet>England>London"
"Robert Briffault";"Robert Briffault>social anthropologist>British Museum>London"
"Stephen Atkinson (metallurgist)";"Stephen Atkinson (metallurgist)>Foster Lane>City of London>London"
"Barbara C. Freeman";"Barbara C. Freeman>Enid Blyton>London"
"Adrian Bowyer";"Adrian Bowyer>Imperial College London>European Union>London"
"Robb Gravett";"Robb Gravett>United Kingdom>Cornish language>London"
"Steve Laine";"Steve Laine>Europe>London"
"David Smith (English politician)";"David Smith (English politician)>City of London>London"
"Gordon Jennings Laing";"Gordon Jennings Laing>United States>Federalism>London"
"Tom Arnold (politician)";"Tom Arnold (politician)>United Kingdom>Cornish language>London"
