subject;predicate;object;score;path
Jane P. Gray;/people/person/education./education/education/degree;Bachelor of Arts;5;Jane P. Gray>North Carolina>Franklin D. Roosevelt>Bachelor of Arts
Dominic W. Massaro;/people/person/education./education/education/degree;Bachelor of Arts;5;Dominic W. Massaro>University of California, San Diego>Bachelor of Arts
Carl W. Ernst;/people/person/education./education/education/degree;Bachelor of Arts;5;Carl W. Ernst>University of North Carolina at Chapel Hill>Michael Jordan>Bachelor of Arts
Larry Speakes;/people/person/education./education/education/degree;Bachelor of Arts;5;Larry Speakes>George H. W. Bush>Bachelor of Arts
David T. Beito;/people/person/education./education/education/degree;Bachelor of Arts;5;David T. Beito>Zora Neale Hurston>Bachelor of Arts
Robin Raphel;/people/person/education./education/education/degree;Bachelor of Arts;5;Robin Raphel>George H. W. Bush>Bachelor of Arts
Randall J. LeVeque;/people/person/education./education/education/degree;Bachelor of Arts;5;Randall J. LeVeque>University of California, San Diego>Bachelor of Arts
Rachel Glennerster;/people/person/education./education/education/degree;Bachelor of Arts;5;Rachel Glennerster>United Kingdom>A. A. Milne>Bachelor of Arts
Isadore Hall, III;/people/person/education./education/education/degree;Bachelor of Arts;3;Isadore Hall III>Compton, California>Martin Luther King Jr.>Bachelor of Arts
Udi Adam;/people/person/education./education/education/degree;Bachelor of Arts;-5;Udi Adam>Paris>Jean le Rond d'Alembert>Bachelor of Arts
Joseph S. Johnston;/people/person/education./education/education/degree;Bachelor of Arts;-5;Joseph S. Johnston>Fob James>George H. W. Bush>Bachelor of Arts
Stephen Seche;/people/person/education./education/education/degree;Bachelor of Arts;5;Stephen Seche>United States Ambassador to Yemen>Ronald Reagan>Bachelor of Arts
Becky Cain;/people/person/education./education/education/degree;Bachelor of Arts;-5;Becky Cain>Charleston, West Virginia>Dance>Bachelor of Arts
Katherine Tate;/people/person/education./education/education/degree;Bachelor of Arts;5;Katherine Tate>United States>Franklin D. Roosevelt>Bachelor of Arts
Teresa Ruiz (politician);/people/person/education./education/education/degree;Bachelor of Arts;5;Teresa Ruiz (politician)>Democratic Party (United States)>Theodore Roosevelt>Bachelor of Arts
Eric Marcus;/people/person/education./education/education/degree;Bachelor of Arts;5;Eric Marcus>New York City>Benjamin Franklin>Bachelor of Arts
Ben Brantley;/people/person/education./education/education/degree;Bachelor of Arts;5;Ben Brantley>Durham, North Carolina>Ronald Reagan>Bachelor of Arts
Ron Dellums;/people/person/education./education/education/degree;Bachelor of Arts;-5;Ron Dellums>George H. W. Bush>Bachelor of Arts
Nancy H. Rogers;/people/person/education./education/education/degree;Bachelor of Arts;-5;Nancy H. Rogers>Richard Cordray>Byron White>Bachelor of Arts
F. Jay Taylor;/people/person/education./education/education/degree;Bachelor of Arts;-5;F. Jay Taylor>University of California at Berkeley>J. Robert Oppenheimer>Bachelor of Arts
Thomas Merrill;/people/person/education./education/education/degree;Bachelor of Arts;5;Thomas W. Merrill>Columbia Law School>London School of Economics>Bachelor of Arts
Gregory R. Ball;/people/person/education./education/education/degree;Bachelor of Arts;1;Greg Ball (politician)>Republican Party (United States)>Theodore Roosevelt>Bachelor of Arts
Shirley Franklin;/people/person/education./education/education/degree;Bachelor of Arts;5;Shirley Franklin>Kasim Reed>George H. W. Bush>Bachelor of Arts
Avi Bell;/people/person/education./education/education/degree;Bachelor of Arts;-5;Avi Bell>Professor>Psychologist>Bachelor of Arts
Wade L. Hopping;/people/person/education./education/education/degree;Bachelor of Arts;5;Wade L. Hopping>Republican Party (United States)>Theodore Roosevelt>Bachelor of Arts
Bethaida González;/people/person/education./education/education/degree;Bachelor of Arts;5;Bethaida González>New York (state)>DeWitt Clinton>Bachelor of Arts
Wang Lu Xiang;/people/person/education./education/education/degree;Bachelor of Arts;5;Wang Luxiang>China>Noam Chomsky>Bachelor of Arts
Leigh Lisker;/people/person/education./education/education/degree;Bachelor of Arts;5;Leigh Lisker>linguistics>Noam Chomsky>Bachelor of Arts
Chevene Bowers King;/people/person/education./education/education/degree;Bachelor of Arts;-5;Chevene Bowers King>Martin Luther King Jr.>Bachelor of Arts
Michael Uebel;/people/person/education./education/education/degree;Bachelor of Arts;5;Michael Uebel>Austin, Texas>Lyndon B. Johnson>Bachelor of Arts
Pete Lund;/people/person/education./education/education/degree;Bachelor of Arts;5;Pete Lund>Detroit>Martin Luther King Jr.>Bachelor of Arts
Tom Carnahan;/people/person/education./education/education/degree;Bachelor of Arts;-5;Tom Carnahan>Missouri Governor>John Ashcroft>Bachelor of Arts
George Fitzhugh (dean);/people/person/education./education/education/degree;Bachelor of Arts;-5;George Fitzhugh (priest)>Chancellor of Cambridge University>John Fisher>Bachelor of Arts
Andy Luckey;/people/person/education./education/education/degree;Bachelor of Arts;-3;Andy Luckey>Television producer>David Angell>Bachelor of Arts
Joe Conason;/people/person/education./education/education/degree;Bachelor of Arts;5;Joe Conason>George H. W. Bush>Bachelor of Arts
Jonathan Compas;/people/person/education./education/education/degree;Bachelor of Arts;5;Jonathan Compas>Yorba Linda, California>Richard Nixon>Bachelor of Arts
Thomas P. Giblin;/people/person/education./education/education/degree;Bachelor of Arts;5;Thomas P. Giblin>34th Legislative District (New Jersey)>Rudy Giuliani>Bachelor of Arts
Brett Tolman;/people/person/education./education/education/degree;Bachelor of Arts;5;Brett Tolman>Orrin Hatch>Ronald Reagan>Bachelor of Arts
Louis Manzo;/people/person/education./education/education/degree;Bachelor of Arts;3;Louis Manzo>United States>Franklin D. Roosevelt>Bachelor of Arts
Donna Kane;/people/person/education./education/education/degree;Bachelor of Arts;5;Donna Kane>United States>Franklin D. Roosevelt>Bachelor of Arts
Thomas Heller;/people/person/education./education/education/degree;Bachelor of Arts;5;Thomas Heller>Princeton University>Business school>Bachelor of Arts
Roger D. Pierce;/people/person/education./education/education/degree;Bachelor of Arts;5;Roger D. Pierce>United States Department of State>Benjamin Franklin>Bachelor of Arts
Gerald Butts;/people/person/education./education/education/degree;Bachelor of Arts;5;Gerald Butts>McGill University>Zbigniew Brzezinski>Bachelor of Arts
Jean Merrill;/people/person/education./education/education/degree;Bachelor of Arts;5;Jean Merrill>Children's novels>J. K. Rowling>Bachelor of Arts
David Eisenbach;/people/person/education./education/education/degree;Bachelor of Arts;5;David Eisenbach>Liberal Party of New York>Franklin D. Roosevelt>Bachelor of Arts
Heather Steans;/people/person/education./education/education/degree;Bachelor of Arts;5;Heather Steans>Lake Forest, Illinois>Stephen King>Bachelor of Arts
Clifford Winston;/people/person/education./education/education/degree;Bachelor of Arts;5;Clifford Winston>London School of Economics>Bachelor of Arts
Juan Verde;/people/person/education./education/education/degree;Bachelor of Arts;5;Juan Verde>Spain>George H. W. Bush>Bachelor of Arts
Melvin Lax;/people/person/education./education/education/degree;Bachelor of Arts;5;Melvin Lax>New York City>Benjamin Franklin>Bachelor of Arts
Matthew Mendelsohn;/people/person/education./education/education/degree;Bachelor of Arts;5;Matthew Mendelsohn>McGill University>Zbigniew Brzezinski>Bachelor of Arts
John Girgenti;/people/person/education./education/education/degree;Bachelor of Arts;5;John Girgenti>Frank X. Graves, Jr.>Allen Ginsberg>Bachelor of Arts
Mary Ann McLaughlin;/people/person/education./education/education/degree;Bachelor of Arts;5;Mary Ann McLaughlin>United States>Franklin D. Roosevelt>Bachelor of Arts
Scott Brown;/people/person/education./education/education/degree;Bachelor of Arts;5;Scott Brown>Scott Brown (politician)>Lawrence Lessig>Bachelor of Arts
Nicholas S. Zeppos;/people/person/education./education/education/degree;Bachelor of Arts;5;Nicholas S. Zeppos>Vanderbilt University>Emory University>Bachelor of Arts
Richard Alexander Arnold;/people/person/education./education/education/degree;Bachelor of Arts;5;Richard Alexander Arnold>Literary Theory>Michel Foucault>Bachelor of Arts
Faisal Shahzad;/people/person/education./education/education/degree;Bachelor of Arts;5;Faisal Shahzad>Pakistan>Richard Nixon>Bachelor of Arts
Nels Olson;/people/person/education./education/education/degree;Bachelor of Arts;5;Nels Olson>State University of New York>Thomas E. Dewey>Bachelor of Arts
William J. S. Elliott;/people/person/education./education/education/degree;Bachelor of Arts;-3;William J. S. Elliott>Brian Mulroney>Bachelor of Arts
Douglas Geers;/people/person/education./education/education/degree;Bachelor of Arts;5;Douglas Geers>composer>Music theory>Bachelor of Arts
Martha W. Bark;/people/person/education./education/education/degree;Bachelor of Arts;5;Martha W. Bark>Republican Party (United States)>Theodore Roosevelt>Bachelor of Arts
Andrew Solomon;/people/person/education./education/education/degree;Bachelor of Arts;5;Andrew Solomon>Documentary film>Bachelor of Arts
Patrick J. Diegnan;/people/person/education./education/education/degree;Bachelor of Arts;5;Patrick J. Diegnan>New Jersey>Ralph Nader>Bachelor of Arts
Benjamin Hutto;/people/person/education./education/education/degree;Bachelor of Arts;5;Benjamin Hutto>Emory University>Bachelor of Arts
Christopher Mellon;/people/person/education./education/education/degree;Bachelor of Arts;-5;Christopher Mellon>Yale University>Liberal arts education>Bachelor of Arts
Asoka Bandarage;/people/person/education./education/education/degree;Bachelor of Arts;5;Asoka Bandarage>Sri Lanka>Ronald Reagan>Bachelor of Arts
Chris Zook;/people/person/education./education/education/degree;Bachelor of Arts;5;Chris Zook>Harvard University>Tom Lehrer>Bachelor of Arts
Janet Nichols Lynch;/people/person/education./education/education/degree;Bachelor of Arts;5;Janet Nichols Lynch>Sacramento, California>Ronald Reagan>Bachelor of Arts
Frank Mankiewicz;/people/person/education./education/education/degree;Bachelor of Arts;5;Frank Mankiewicz>Henry Kissinger>Bachelor of Arts
Stephen Ziliak;/people/person/education./education/education/degree;Bachelor of Arts;5;Stephen Ziliak>Emory University>Bachelor of Arts
Edward B. Miller;/people/person/education./education/education/degree;Bachelor of Arts;5;Edward B. Miller>Baltimore, Maryland>John Quincy Adams>Bachelor of Arts
Anthony Grooms;/people/person/education./education/education/degree;Bachelor of Arts;5;Anthony Grooms>Atlanta, Georgia>Martin Luther King Jr.>Bachelor of Arts
Steven Furtick;/people/person/education./education/education/degree;Bachelor of Arts;5;Steven Furtick>Southern Baptist Theological Seminary>Martin Luther King Jr.>Bachelor of Arts
Heward Grafftey;/people/person/education./education/education/degree;Bachelor of Arts;5;Heward Grafftey>John Diefenbaker>Bachelor of Arts
Gunnar Thorvaldson;/people/person/education./education/education/degree;Bachelor of Arts;-3;Gunnar Thorvaldson>John Diefenbaker>Bachelor of Arts
Mark Oldman;/people/person/education./education/education/degree;Bachelor of Arts;5;Mark Oldman>Manhattan>Barnard College>Bachelor of Arts
Pinchas Hacohen Peli;/people/person/education./education/education/degree;Bachelor of Arts;5;Pinchas Hacohen Peli>Jewish philosophy>Noam Chomsky>Bachelor of Arts
Paul Alan Levi;/people/person/education./education/education/degree;Bachelor of Arts;5;Paul Alan Levi>New York City>Benjamin Franklin>Bachelor of Arts
Timothy Morton;/people/person/education./education/education/degree;Bachelor of Arts;5;Timothy Morton>Contemporary philosophy>Immanuel Kant>Bachelor of Arts
James A. Graham (psychologist);/people/person/education./education/education/degree;Bachelor of Arts;5;James A. Graham (psychologist)>United States>Franklin D. Roosevelt>Bachelor of Arts
Mizan Rahman;/people/person/education./education/education/degree;Bachelor of Arts;5;Mizan Rahman>University of New Brunswick>Bachelor of Arts
Montgomery Oliver Koelsch;/people/person/education./education/education/degree;Bachelor of Arts;5;Montgomery Oliver Koelsch>United States Court of Appeals for the Ninth Circuit>William Howard Taft>Bachelor of Arts
Rodger Raderman;/people/person/education./education/education/degree;Bachelor of Arts;1;Rodger Raderman>Businessweek.com>Business school>Bachelor of Arts
Jane Reece;/people/person/education./education/education/degree;Bachelor of Arts;5;Jane Reece>United States>Franklin D. Roosevelt>Bachelor of Arts
Ira S. Nash;/people/person/education./education/education/degree;Bachelor of Arts;5;Ira S. Nash>Harvard University>Tom Lehrer>Bachelor of Arts
Jack O'Connell;/people/person/education./education/education/degree;Bachelor of Arts;3;Jack O'Connell>Jack O'Connell (politician)>Arnold Schwarzenegger>Bachelor of Arts
Safi R. Bahcall;/people/person/education./education/education/degree;Bachelor of Arts;5;Safi R. Bahcall>Harvard University>Tom Lehrer>Bachelor of Arts
Derek Nikitas;/people/person/education./education/education/degree;Bachelor of Arts;5;Derek Nikitas>New Hampshire>Daniel Webster>Bachelor of Arts
James W. Wagner;/people/person/education./education/education/degree;Bachelor of Arts;1;James W. Wagner>Emory University>Bachelor of Arts
Darren DeFrain;/people/person/education./education/education/degree;Bachelor of Arts;5;Darren DeFrain>author>Michel Foucault>Bachelor of Arts
Bernard Kenny;/people/person/education./education/education/degree;Bachelor of Arts;5;Bernard Kenny>United States>Franklin D. Roosevelt>Bachelor of Arts
The New York Observer;/people/person/education./education/education/degree;Bachelor of Arts;1;The New York Observer>Dartmouth College>Bachelor of Arts
Norman Isham;/people/person/education./education/education/degree;Bachelor of Arts;-5;Norman Isham>brackets>E. E. Cummings>Bachelor of Arts
Murray G. Ross;/people/person/education./education/education/degree;Bachelor of Arts;-3;Murray G. Ross>Nova Scotia>Alistair MacLeod>Bachelor of Arts
Hilal Khashan;/people/person/education./education/education/degree;Bachelor of Arts;5;Hilal Khashan>Middle East>John Foster Dulles>Bachelor of Arts
Robert Appelbaum;/people/person/education./education/education/degree;Bachelor of Arts;5;Robert Appelbaum>University of Chicago>Milton Friedman>Bachelor of Arts
David M. Lawson;/people/person/education./education/education/degree;Bachelor of Arts;5;David M. Lawson>List of federal judges appointed by Bill Clinton>Byron White>Bachelor of Arts
Michael J. Hurd;/people/person/education./education/education/degree;Bachelor of Arts;5;Michael J. Hurd>Psychologist>Bachelor of Arts
David E. Meyer;/people/person/education./education/education/degree;Bachelor of Arts;5;David E. Meyer>psychology>Social science>Bachelor of Arts
Larry Sanger;/people/person/education./education/education/degree;Bachelor of Arts;5;Larry Sanger>Columbus, Ohio>Benjamin Franklin>Bachelor of Arts
Juan Andrés Fontaine Talavera;/people/person/education./education/education/degree;Bachelor of Arts;5;Juan Andrés Fontaine Talavera>Chile>Richard Nixon>Bachelor of Arts
Nancy Folbre;/people/person/education./education/education/degree;Bachelor of Arts;5;Nancy Folbre>Gary Becker>Bachelor of Arts
Joseph Chusak Sirisut;/people/person/education./education/education/degree;Bachelor of Arts;5;Joseph Chusak Sirisut>Theology>Quadrivium>Bachelor of Arts
Michael DeSisto;/people/person/education./education/education/degree;Bachelor of Arts;5;Michael DeSisto>Boston, Massachusetts>Business school>Bachelor of Arts
Scott Rauland;/people/person/education./education/education/degree;Bachelor of Arts;5;Scott Rauland>Barack Obama>Franklin D. Roosevelt>Bachelor of Arts
Joshua Fry Speed;/people/person/education./education/education/degree;Bachelor of Arts;-5;Joshua Fry Speed>United States>Franklin D. Roosevelt>Bachelor of Arts
Nachum Shifren;/people/person/education./education/education/degree;Bachelor of Arts;5;Nachum Shifren>surfer>Recreation>Bachelor of Arts
David A. Gross;/people/person/education./education/education/degree;Bachelor of Arts;5;David A. Gross>United States>Franklin D. Roosevelt>Bachelor of Arts
Ellen Meiksins Wood;/people/person/education./education/education/degree;Bachelor of Arts;5;Ellen Meiksins Wood>Marxist>Ronald Reagan>Bachelor of Arts
Ellis L. Johnson;/people/person/education./education/education/degree;Bachelor of Arts;5;Ellis L. Johnson>Mathematician>Tom Lehrer>Bachelor of Arts
Jack Williamson;/people/person/education./education/education/degree;Bachelor of Arts;5;Jack Williamson>Bisbee, Arizona>Franklin D. Roosevelt>Bachelor of Arts
Perry N. Halkitis;/people/person/education./education/education/degree;Bachelor of Arts;5;Perry N. Halkitis>Hunter College>Bachelor of Arts
Jeffrey J. Schloesser;/people/person/education./education/education/degree;Bachelor of Arts;5;Jeffrey J. Schloesser>United States Army>Robert McNamara>Bachelor of Arts
Edward Mendelson;/people/person/education./education/education/degree;Bachelor of Arts;-5;Edward Mendelson>United States>Franklin D. Roosevelt>Bachelor of Arts
Peter Tarnoff;/people/person/education./education/education/degree;Bachelor of Arts;5;Peter Tarnoff>Bill Clinton>George H. W. Bush>Bachelor of Arts
Kendrick Moxon;/people/person/education./education/education/degree;Bachelor of Arts;-3;Kendrick Moxon>Scientology>Emory University>Bachelor of Arts
Paul von Zielbauer;/people/person/education./education/education/degree;Bachelor of Arts;5;Paul von Zielbauer>Vietnam>Social science>Bachelor of Arts
Brian R. Gaines;/people/person/education./education/education/degree;Bachelor of Arts;-5;Brian R. Gaines>University of Calgary>Bachelor of Arts
Karen J. Warren;/people/person/education./education/education/degree;Bachelor of Arts;5;Karen J. Warren>Western philosophy>Medieval university>Bachelor of Arts
Glenn Leroy Archer, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5;Glenn Leroy Archer Jr.>Ronald Reagan>Bachelor of Arts
Christopher West;/people/person/education./education/education/degree;Bachelor of Arts;5;Christopher West>Catholic>Ronald Reagan>Bachelor of Arts
Tim Ryan (politician);/people/person/education./education/education/degree;Bachelor of Arts;5;Tim Ryan (politician)>U.S. House of Representatives>Franklin D. Roosevelt>Bachelor of Arts
Andrew Lo;/people/person/education./education/education/degree;Bachelor of Arts;5;Andrew Lo>Yale University>Liberal arts education>Bachelor of Arts
Stuart Rachels;/people/person/education./education/education/degree;Bachelor of Arts;-5;Stuart Rachels>Emory University>Bachelor of Arts
Lonny R. Suko;/people/person/education./education/education/degree;Bachelor of Arts;-5;Lonny R. Suko>William Fremming Nielsen>George H. W. Bush>Bachelor of Arts
Wilfred Cantwell Smith;/people/person/education./education/education/degree;Bachelor of Arts;5;Wilfred Cantwell Smith>Concordia University>Bachelor of Arts
Stewart Butterfield;/people/person/education./education/education/degree;Bachelor of Arts;5;Stewart Butterfield>Canada>Brian Mulroney>Bachelor of Arts
Betty Beaumont;/people/person/education./education/education/degree;Bachelor of Arts;5;Betty Beaumont>Hunter College>Bachelor of Arts
David Komito;/people/person/education./education/education/degree;Bachelor of Arts;5;David Komito>psychology of religion>Psychologist>Bachelor of Arts
Edward Malloy;/people/person/education./education/education/degree;Bachelor of Arts;5;Edward Malloy>George H. W. Bush>Bachelor of Arts
David J. Schneider;/people/person/education./education/education/degree;Bachelor of Arts;5;David J. Schneider>psychology>Social science>Bachelor of Arts
John Sall;/people/person/education./education/education/degree;Bachelor of Arts;5;John Sall>Rockford, Illinois>Theodore Roosevelt>Bachelor of Arts
Ira Ruskin;/people/person/education./education/education/degree;Bachelor of Arts;5;Ira Ruskin>New York City, New York>Benjamin Franklin>Bachelor of Arts
David Sobel;/people/person/education./education/education/degree;Bachelor of Arts;5;David Sobel>philosophy>Immanuel Kant>Bachelor of Arts
Steven S. Shreve;/people/person/education./education/education/degree;Bachelor of Arts;-3;Steven E. Shreve>mathematician>Tom Lehrer>Bachelor of Arts
Reed Gusciora;/people/person/education./education/education/degree;Bachelor of Arts;5;Reed Gusciora>Passaic, New Jersey>University of California, San Diego>Bachelor of Arts
John C. Bear;/people/person/education./education/education/degree;Bachelor of Arts;5;John C. Bear>Republican Party (United States)>Theodore Roosevelt>Bachelor of Arts
Aaron L. Mackler;/people/person/education./education/education/degree;Bachelor of Arts;5;Aaron L. Mackler>Pittsburgh, Pennsylvania>Rachel Carson>Bachelor of Arts
Max Blumenthal;/people/person/education./education/education/degree;Bachelor of Arts;5;Max Blumenthal>Boston>Business school>Bachelor of Arts
David Borowich;/people/person/education./education/education/degree;Bachelor of Arts;5;David Borowich>Dan Coats>Bachelor of Arts
Andrew M. Murstein;/people/person/education./education/education/degree;Bachelor of Arts;5;Andrew M. Murstein>Jack Kemp>Bachelor of Arts
Eric M. Jackson;/people/person/education./education/education/degree;Bachelor of Arts;5;Eric M. Jackson>Stanford University>Martin Luther King Jr.>Bachelor of Arts
Ole Holsti;/people/person/education./education/education/degree;Bachelor of Arts;-5;Ole Holsti>John Foster Dulles>Bachelor of Arts
Henry Thomas Duffy;/people/person/education./education/education/degree;Bachelor of Arts;5;Henry Thomas Duffy>Canada>Brian Mulroney>Bachelor of Arts
Katherine Harris;/people/person/education./education/education/degree;Bachelor of Arts;5;Katherine Harris>Florida>Tennessee Williams>Bachelor of Arts
Perri Klass;/people/person/education./education/education/degree;Bachelor of Arts;5;Perri Klass>Barnard College>Bachelor of Arts
Steven VanRoekel;/people/person/education./education/education/degree;Bachelor of Arts;5;Steven VanRoekel>Barack Obama>Franklin D. Roosevelt>Bachelor of Arts
Anna Abdallah;/people/person/education./education/education/degree;Bachelor of Arts;5;Anna Abdallah>University of Missouri>Sheryl Crow>Bachelor of Arts
