subject;predicate;object;score
Lucius Desha Bunton III;/people/person/education./education/education/degree;Bachelor of Arts;5
John Thomas Marten;/people/person/education./education/education/degree;Bachelor of Arts;5
Inzer Bass Wyatt;/people/person/education./education/education/degree;Bachelor of Arts;5
Allan Kuhn Grim;/people/person/education./education/education/degree;Bachelor of Arts;5
Benjamin C. Dawkins, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Debra Todd;/people/person/education./education/education/degree;Bachelor of Arts;5
MaryAnn Mihychuk;/people/person/education./education/education/degree;Bachelor of Arts;5
Harry Lee Hudspeth;/people/person/education./education/education/degree;Bachelor of Arts;5
Edet Belzberg;/people/person/education./education/education/degree;Bachelor of Arts;1
Fereydun Adamiyat;/people/person/education./education/education/degree;Bachelor of Arts;5
William M. Nickerson;/people/person/education./education/education/degree;Bachelor of Arts;5
James Levin Latchum;/people/person/education./education/education/degree;Bachelor of Arts;5
Randy Crane;/people/person/education./education/education/degree;Bachelor of Arts;3
Gary Vena;/people/person/education./education/education/degree;Bachelor of Arts;5
Benjamin Blech;/people/person/education./education/education/degree;Bachelor of Arts;5
Martin Pearlman;/people/person/education./education/education/degree;Bachelor of Arts;1
Ricardo Hinojosa;/people/person/education./education/education/degree;Bachelor of Arts;5
University of Akron;/people/person/education./education/education/degree;Bachelor of Arts;3
Colleen McMahon;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Murray Gibson;/people/person/education./education/education/degree;Bachelor of Arts;5
Francis Gordon Caffey;/people/person/education./education/education/degree;Bachelor of Arts;5
Ashton Hilliard Williams;/people/person/education./education/education/degree;Bachelor of Arts;5
Jerry Fontaine;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph H. Rodriguez;/people/person/education./education/education/degree;Bachelor of Arts;5
Maitland McDonagh;/people/person/education./education/education/degree;Bachelor of Arts;5
Boyce F. Martin, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Herbert Ames;/people/person/education./education/education/degree;Bachelor of Arts;5
Eldon Brooks Mahon;/people/person/education./education/education/degree;Bachelor of Arts;5
Lloyd Llewellyn Black;/people/person/education./education/education/degree;Bachelor of Arts;5
Anna M. Cienciala;/people/person/education./education/education/degree;Bachelor of Arts;5
Ted Wells;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Paul Conaboy;/people/person/education./education/education/degree;Bachelor of Arts;5
George Ojemann;/people/person/education./education/education/degree;Bachelor of Arts;5
Walter Washington (educator);/people/person/education./education/education/degree;Bachelor of Arts;5
James Leon Holmes;/people/person/education./education/education/degree;Bachelor of Arts;5
Ernest C. Torres;/people/person/education./education/education/degree;Bachelor of Arts;5
Bruce A. Menge;/people/person/education./education/education/degree;Bachelor of Arts;5
William Carl Burger;/people/person/education./education/education/degree;Bachelor of Arts;5
Paul B. Henry;/people/person/education./education/education/degree;Bachelor of Arts;5
Chris Banks;/people/person/education./education/education/degree;Bachelor of Arts;3
Zita Leeson Weinshienk;/people/person/education./education/education/degree;Bachelor of Arts;5
Henry Anthony Politz;/people/person/education./education/education/degree;Bachelor of Arts;5
A. Richard Caputo;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Everett Coyle;/people/person/education./education/education/degree;Bachelor of Arts;5
Ricardo Macías Picavea;/people/person/education./education/education/degree;Bachelor of Arts;5
Mary Lazich;/people/person/education./education/education/degree;Bachelor of Arts;5
Barry Ted Moskowitz;/people/person/education./education/education/degree;Bachelor of Arts;5
Theodore de Laguna;/people/person/education./education/education/degree;Bachelor of Arts;5
Frank Gordon Theis;/people/person/education./education/education/degree;Bachelor of Arts;5
Rob Ryan (entrepreneur);/people/person/education./education/education/degree;Bachelor of Arts;1
Justin Colfax Morgan;/people/person/education./education/education/degree;Bachelor of Arts;5
Donald Akenson;/people/person/education./education/education/degree;Bachelor of Arts;5
William P. Egan;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert W. Warren;/people/person/education./education/education/degree;Bachelor of Arts;5
John Virgil Singleton, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Roy Mahlon Shelbourne;/people/person/education./education/education/degree;Bachelor of Arts;5
George Weston Anderson;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Z. Aliber;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas Blake Kennedy;/people/person/education./education/education/degree;Bachelor of Arts;5
Fred DuVal;/people/person/education./education/education/degree;Bachelor of Arts;5
Eldon E. Fallon;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert C. Brack;/people/person/education./education/education/degree;Bachelor of Arts;5
Robin Hugh Farquhar;/people/person/education./education/education/degree;Bachelor of Arts;1
Theodore McKee;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph Jewell;/people/person/education./education/education/degree;Bachelor of Arts;3
George Clifton Edwards, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Allan Ludwig;/people/person/education./education/education/degree;Bachelor of Arts;5
Howard David Hermansdorfer;/people/person/education./education/education/degree;Bachelor of Arts;5
Ron Clark (judge);/people/person/education./education/education/degree;Bachelor of Arts;5
Lee Parsons Gagliardi;/people/person/education./education/education/degree;Bachelor of Arts;5
Myron L. Gordon;/people/person/education./education/education/degree;Bachelor of Arts;5
Rita Schiano;/people/person/education./education/education/degree;Bachelor of Arts;5
Michael A. Cardozo;/people/person/education./education/education/degree;Bachelor of Arts;3
Robert Michael Dow Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas J. Josefiak;/people/person/education./education/education/degree;Bachelor of Arts;5
Marvin Katz;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas Middleton Raysor;/people/person/education./education/education/degree;Bachelor of Arts;5
Oliver Gasch;/people/person/education./education/education/degree;Bachelor of Arts;3
Daniel Anthony Manion;/people/person/education./education/education/degree;Bachelor of Arts;5
Laurier LaPierre;/people/person/education./education/education/degree;Bachelor of Arts;5
David S. Evans;/people/person/education./education/education/degree;Bachelor of Arts;1
Charles L. Grant;/people/person/education./education/education/degree;Bachelor of Arts;5
Caroline Bynum;/people/person/education./education/education/degree;Bachelor of Arts;5
Lucius C. Clark;/people/person/education./education/education/degree;Bachelor of Arts;5
Tim Stevenson;/people/person/education./education/education/degree;Bachelor of Arts;3
Ian MacPherson (historian);/people/person/education./education/education/degree;Bachelor of Arts;5
William Cook Hanson;/people/person/education./education/education/degree;Bachelor of Arts;5
Wallace Stegner;/people/person/education./education/education/degree;Bachelor of Arts;1
Mark Steven Davis;/people/person/education./education/education/degree;Bachelor of Arts;5
Ortrie D. Smith;/people/person/education./education/education/degree;Bachelor of Arts;5
Murdoch MacKay;/people/person/education./education/education/degree;Bachelor of Arts;5
Dennis Crowley;/people/person/education./education/education/degree;Bachelor of Arts;5
David Dudley Dowd, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
William Odis Bertelsman;/people/person/education./education/education/degree;Bachelor of Arts;5
Kenneth L. Marcus;/people/person/education./education/education/degree;Bachelor of Arts;5
Stephen Six;/people/person/education./education/education/degree;Bachelor of Arts;5
Todd Rosenthal;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Robin Britt;/people/person/education./education/education/degree;Bachelor of Arts;5
David D. Burns;/people/person/education./education/education/degree;Bachelor of Arts;5
Stan Allen;/people/person/education./education/education/degree;Bachelor of Arts;5
James Joseph Brady;/people/person/education./education/education/degree;Bachelor of Arts;5
John Hanson (director);/people/person/education./education/education/degree;Bachelor of Arts;5
Emily Kendal Frey;/people/person/education./education/education/degree;Bachelor of Arts;5
John Clyde Bowen;/people/person/education./education/education/degree;Bachelor of Arts;5
Philip S. Gutierrez;/people/person/education./education/education/degree;Bachelor of Arts;5
Eric J. Nestler;/people/person/education./education/education/degree;Bachelor of Arts;5
Warren Cariou;/people/person/education./education/education/degree;Bachelor of Arts;5
Barron Patterson McCune;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert E. Kennedy (University president);/people/person/education./education/education/degree;Bachelor of Arts;5
John Joseph McNaught;/people/person/education./education/education/degree;Bachelor of Arts;5
Tom Stewart Lee;/people/person/education./education/education/degree;Bachelor of Arts;5
Fred Diamond;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert E. Payne;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph Peter Stadtmueller;/people/person/education./education/education/degree;Bachelor of Arts;5
Chris Doyle;/people/person/education./education/education/degree;Bachelor of Arts;5
David Eidelberg;/people/person/education./education/education/degree;Bachelor of Arts;5
Bruce R. McConkie;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas McKevitt;/people/person/education./education/education/degree;Bachelor of Arts;5
Jack Hirschman;/people/person/education./education/education/degree;Bachelor of Arts;5
Barry Campbell;/people/person/education./education/education/degree;Bachelor of Arts;5
Swami Chidananda Saraswati;/people/person/education./education/education/degree;Bachelor of Arts;5
Donna Cox;/people/person/education./education/education/degree;Bachelor of Arts;5
Alfred M. Wolin;/people/person/education./education/education/degree;Bachelor of Arts;5
Elizabeth Virginia Hallanan;/people/person/education./education/education/degree;Bachelor of Arts;5
Stephen W. Preston;/people/person/education./education/education/degree;Bachelor of Arts;5
Jimmie V. Reyna;/people/person/education./education/education/degree;Bachelor of Arts;5
Donald Emil Ziegler;/people/person/education./education/education/degree;Bachelor of Arts;5
Armistead Mason Dobie;/people/person/education./education/education/degree;Bachelor of Arts;5
Sven Erik Holmes;/people/person/education./education/education/degree;Bachelor of Arts;5
Wendell Alverson Miles;/people/person/education./education/education/degree;Bachelor of Arts;5
Bernard Roizman;/people/person/education./education/education/degree;Bachelor of Arts;5
Ian Bremmer;/people/person/education./education/education/degree;Bachelor of Arts;5
Stephen P. Friot;/people/person/education./education/education/degree;Bachelor of Arts;5
William Docker Browning;/people/person/education./education/education/degree;Bachelor of Arts;1
Steve Paikin;/people/person/education./education/education/degree;Bachelor of Arts;5
William Dawson LeSueur;/people/person/education./education/education/degree;Bachelor of Arts;5
Colin Diver;/people/person/education./education/education/degree;Bachelor of Arts;5
Sherrill Halbert;/people/person/education./education/education/degree;Bachelor of Arts;5
Mildred Thompson;/people/person/education./education/education/degree;Bachelor of Arts;5
Gary Clayton Anderson;/people/person/education./education/education/degree;Bachelor of Arts;3
David G. Epstein;/people/person/education./education/education/degree;Bachelor of Arts;5
Frederick George Hamley;/people/person/education./education/education/degree;Bachelor of Arts;5
James E. Smith (Bible scholar);/people/person/education./education/education/degree;Bachelor of Arts;5
David Folsom;/people/person/education./education/education/degree;Bachelor of Arts;5
Hubert Irving Teitelbaum;/people/person/education./education/education/degree;Bachelor of Arts;5
Koç family;/people/person/education./education/education/degree;Bachelor of Arts;1
Julian Jacobs;/people/person/education./education/education/degree;Bachelor of Arts;5
Karim Sadjadpour;/people/person/education./education/education/degree;Bachelor of Arts;5
Lawrence Walsh;/people/person/education./education/education/degree;Bachelor of Arts;5
William Lloyd Standish;/people/person/education./education/education/degree;Bachelor of Arts;5
Kęstutis Nakas;/people/person/education./education/education/degree;Bachelor of Arts;5
Jerry Birdwell;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Allen Moye Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Bibb Latané;/people/person/education./education/education/degree;Bachelor of Arts;5
Barrik Van Winkle;/people/person/education./education/education/degree;Bachelor of Arts;5
Jim Corcoran;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Dixon Herman;/people/person/education./education/education/degree;Bachelor of Arts;5
Paul L. Friedman;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert T. Dawson;/people/person/education./education/education/degree;Bachelor of Arts;5
Karen J. Williams;/people/person/education./education/education/degree;Bachelor of Arts;5
Michael Skube;/people/person/education./education/education/degree;Bachelor of Arts;5
Frank Joseph Coleman;/people/person/education./education/education/degree;Bachelor of Arts;5
Martin Kylhammar;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Peter Aguilar;/people/person/education./education/education/degree;Bachelor of Arts;5
Bradley A. Smith;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph James Farnan, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas A. Scully;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Dale Morgan;/people/person/education./education/education/degree;Bachelor of Arts;5
James Knoll Gardner;/people/person/education./education/education/degree;Bachelor of Arts;5
Dorothy Canfield Fisher;/people/person/education./education/education/degree;Bachelor of Arts;5
Matthew T. Dickerson;/people/person/education./education/education/degree;Bachelor of Arts;5
John O. Colvin;/people/person/education./education/education/degree;Bachelor of Arts;5
Abraham Benjamin Conger;/people/person/education./education/education/degree;Bachelor of Arts;5
Carl J. Artman;/people/person/education./education/education/degree;Bachelor of Arts;5
William T. McCarthy;/people/person/education./education/education/degree;Bachelor of Arts;5
Jeannie Suk;/people/person/education./education/education/degree;Bachelor of Arts;5
Rockland Osgood;/people/person/education./education/education/degree;Bachelor of Arts;5
Arthur Sweatman;/people/person/education./education/education/degree;Bachelor of Arts;5
James W. Holzapfel;/people/person/education./education/education/degree;Bachelor of Arts;1
Debra Bloomfield;/people/person/education./education/education/degree;Bachelor of Arts;1
Louise Charron;/people/person/education./education/education/degree;Bachelor of Arts;5
James Howard Jarvis II;/people/person/education./education/education/degree;Bachelor of Arts;5
Donald C. Clarke;/people/person/education./education/education/degree;Bachelor of Arts;5
Victor Davis Hanson;/people/person/education./education/education/degree;Bachelor of Arts;5
Mary Little Cooper;/people/person/education./education/education/degree;Bachelor of Arts;5
John F. Hall;/people/person/education./education/education/degree;Bachelor of Arts;5
James A. Beaty, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles A. Pannell, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Ralph R. Beistline;/people/person/education./education/education/degree;Bachelor of Arts;5
Leora Auslander;/people/person/education./education/education/degree;Bachelor of Arts;5
Earl Leroy Yeakel III;/people/person/education./education/education/degree;Bachelor of Arts;5
Linda Gregerson;/people/person/education./education/education/degree;Bachelor of Arts;5
Ashbel Green Gulliver;/people/person/education./education/education/degree;Bachelor of Arts;5
Wayne R. Andersen;/people/person/education./education/education/degree;Bachelor of Arts;5
Ursula Bellugi;/people/person/education./education/education/degree;Bachelor of Arts;5
James Kwak;/people/person/education./education/education/degree;Bachelor of Arts;5
Patrick Michael Duffy;/people/person/education./education/education/degree;Bachelor of Arts;5
Patrick R. Hugg;/people/person/education./education/education/degree;Bachelor of Arts;5
Harry Lindley Hupp;/people/person/education./education/education/degree;Bachelor of Arts;5
Paul R. Verkuil;/people/person/education./education/education/degree;Bachelor of Arts;5
Philip Neville (judge);/people/person/education./education/education/degree;Bachelor of Arts;5
Lawrence Corey;/people/person/education./education/education/degree;Bachelor of Arts;5
Julian Abele Cook Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
John Stigall;/people/person/education./education/education/degree;Bachelor of Arts;5
Lawrence Butler;/people/person/education./education/education/degree;Bachelor of Arts;5
William H. Walls;/people/person/education./education/education/degree;Bachelor of Arts;5
Herman Jacob Weber;/people/person/education./education/education/degree;Bachelor of Arts;5
Alfred Alexander Woodhull;/people/person/education./education/education/degree;Bachelor of Arts;5
Anthony Mancini;/people/person/education./education/education/degree;Bachelor of Arts;5
Andrew Kirkpatrick (United States federal judge);/people/person/education./education/education/degree;Bachelor of Arts;5
Mark N. Wegman;/people/person/education./education/education/degree;Bachelor of Arts;5
William Calvin Chesnut;/people/person/education./education/education/degree;Bachelor of Arts;5
Swami Swahananda;/people/person/education./education/education/degree;Bachelor of Arts;5
James Robert Inch;/people/person/education./education/education/degree;Bachelor of Arts;5
Roy Laverne Stephenson;/people/person/education./education/education/degree;Bachelor of Arts;5
John W. Hanes, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Emmanuel Berchmans Devlin;/people/person/education./education/education/degree;Bachelor of Arts;5
John D. Mayer;/people/person/education./education/education/degree;Bachelor of Arts;5
James Hunter III;/people/person/education./education/education/degree;Bachelor of Arts;5
John Z. Lee;/people/person/education./education/education/degree;Bachelor of Arts;5
Christopher C. Conner;/people/person/education./education/education/degree;Bachelor of Arts;5
Frank C. Damrell Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Elisha Avery Crary;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Allen Epstein;/people/person/education./education/education/degree;Bachelor of Arts;-1
James August Comiskey;/people/person/education./education/education/degree;Bachelor of Arts;5
Eric Owen Moss;/people/person/education./education/education/degree;Bachelor of Arts;5
Lewis.Tsurumaki.Lewis (LTL Architects);/people/person/education./education/education/degree;Bachelor of Arts;1
John C. Lifland;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas Godden;/people/person/education./education/education/degree;Bachelor of Arts;5
Pierce Lively;/people/person/education./education/education/degree;Bachelor of Arts;5
Michael W. Morrissey;/people/person/education./education/education/degree;Bachelor of Arts;5
Peter Li Preti;/people/person/education./education/education/degree;Bachelor of Arts;-1
Alan Fleischmann;/people/person/education./education/education/degree;Bachelor of Arts;-3
Marcel Aubut;/people/person/education./education/education/degree;Bachelor of Arts;5
Walter Emanuel Treanor;/people/person/education./education/education/degree;Bachelor of Arts;5
Mark R. Dybul;/people/person/education./education/education/degree;Bachelor of Arts;5
David Samson (New Jersey);/people/person/education./education/education/degree;Bachelor of Arts;5
Michelle Asha Cooper;/people/person/education./education/education/degree;Bachelor of Arts;5
Walter Scott Smith, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Dal Millington Lemmon;/people/person/education./education/education/degree;Bachelor of Arts;5
Peter DeFazio;/people/person/education./education/education/degree;Bachelor of Arts;5
Bruce Patterson (Michigan politician);/people/person/education./education/education/degree;Bachelor of Arts;5
John William Miller;/people/person/education./education/education/degree;Bachelor of Arts;5
Ron Lemieux;/people/person/education./education/education/degree;Bachelor of Arts;5
Henry Rutgers Marshall;/people/person/education./education/education/degree;Bachelor of Arts;1
Frank Hampton McFadden;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert Hardy Cleland;/people/person/education./education/education/degree;Bachelor of Arts;5
Raul Anthony Ramirez;/people/person/education./education/education/degree;Bachelor of Arts;5
Daniel Scott Tysdal;/people/person/education./education/education/degree;Bachelor of Arts;5
John Spencer Letts;/people/person/education./education/education/degree;Bachelor of Arts;5
Ismail Khalidi (writer);/people/person/education./education/education/degree;Bachelor of Arts;5
William F. Lee;/people/person/education./education/education/degree;Bachelor of Arts;5
Kevin W. Mannoia;/people/person/education./education/education/degree;Bachelor of Arts;5
Deanell Reece Tacha;/people/person/education./education/education/degree;Bachelor of Arts;5
Andrew McConnell January Cochran;/people/person/education./education/education/degree;Bachelor of Arts;5
George P. Fletcher;/people/person/education./education/education/degree;Bachelor of Arts;5
William Shirley Fulton;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Cartwright Austin;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Thurstan Shaw;/people/person/education./education/education/degree;Bachelor of Arts;5
Kimba Wood;/people/person/education./education/education/degree;Bachelor of Arts;5
Jeremy Kagan;/people/person/education./education/education/degree;Bachelor of Arts;5
William Rosenau;/people/person/education./education/education/degree;Bachelor of Arts;1
Michael Smith (performance artist);/people/person/education./education/education/degree;Bachelor of Arts;5
Paul D. Borman;/people/person/education./education/education/degree;Bachelor of Arts;5
Michael A. Cooper;/people/person/education./education/education/degree;Bachelor of Arts;5
Henry H. Kennedy, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert G. Doumar;/people/person/education./education/education/degree;Bachelor of Arts;5
Miner Searle Bates;/people/person/education./education/education/degree;Bachelor of Arts;5
Peter Stenger Grosscup;/people/person/education./education/education/degree;Bachelor of Arts;5
Henry Holcombe Tucker;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph Beal Steere;/people/person/education./education/education/degree;Bachelor of Arts;5
James Tyrone Giles;/people/person/education./education/education/degree;Bachelor of Arts;5
Magali Cornier Michael;/people/person/education./education/education/degree;Bachelor of Arts;5
Andrew Hunt (historian);/people/person/education./education/education/degree;Bachelor of Arts;5
Joan Retallack;/people/person/education./education/education/degree;Bachelor of Arts;5
Barry B. Levine;/people/person/education./education/education/degree;Bachelor of Arts;5
Gordon Jay Quist;/people/person/education./education/education/degree;Bachelor of Arts;5
Lee Roy West;/people/person/education./education/education/degree;Bachelor of Arts;5
Harold Brent McKnight;/people/person/education./education/education/degree;Bachelor of Arts;5
Royce H. Savage;/people/person/education./education/education/degree;Bachelor of Arts;5
W. Don Cornwell;/people/person/education./education/education/degree;Bachelor of Arts;5
Melanie Sloan;/people/person/education./education/education/degree;Bachelor of Arts;5
Carolyn Stafford Stein;/people/person/education./education/education/degree;Bachelor of Arts;5
Jonathan Miller (businessman);/people/person/education./education/education/degree;Bachelor of Arts;-5
Robert S. Gawthrop III;/people/person/education./education/education/degree;Bachelor of Arts;5
Michael L. Gross (chemist);/people/person/education./education/education/degree;Bachelor of Arts;5
Edmund Louis Palmieri;/people/person/education./education/education/degree;Bachelor of Arts;5
Jerre Stockton Williams;/people/person/education./education/education/degree;Bachelor of Arts;5
George P. Schiavelli;/people/person/education./education/education/degree;Bachelor of Arts;5
Margaret B. Seymour;/people/person/education./education/education/degree;Bachelor of Arts;5
William Blakely Jones;/people/person/education./education/education/degree;Bachelor of Arts;5
Nathaniel Ewing;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas H. Anderson, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Harrison Loesch;/people/person/education./education/education/degree;Bachelor of Arts;5
Walter Early Craig;/people/person/education./education/education/degree;Bachelor of Arts;5
Roland Fairbairn McWilliams;/people/person/education./education/education/degree;Bachelor of Arts;5
Karen E. Rowe;/people/person/education./education/education/degree;Bachelor of Arts;5
Paul Wonner;/people/person/education./education/education/degree;Bachelor of Arts;5
Gordon Wright (historian);/people/person/education./education/education/degree;Bachelor of Arts;5
Jean Edward Smith;/people/person/education./education/education/degree;Bachelor of Arts;5
Terry R. Means;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles Earl Simons, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Charles B. Kornmann;/people/person/education./education/education/degree;Bachelor of Arts;5
Hari Singh Gour;/people/person/education./education/education/degree;Bachelor of Arts;5
Eric F. Melgren;/people/person/education./education/education/degree;Bachelor of Arts;5
Carlos E. Santiago;/people/person/education./education/education/degree;Bachelor of Arts;1
Donnell Gilliam;/people/person/education./education/education/degree;Bachelor of Arts;5
Stephen Orgel;/people/person/education./education/education/degree;Bachelor of Arts;5
Nannette Jolivette Brown;/people/person/education./education/education/degree;Bachelor of Arts;5
Daniel Tarullo;/people/person/education./education/education/degree;Bachelor of Arts;5
Alexis Caswell Angell;/people/person/education./education/education/degree;Bachelor of Arts;5
Don H. Marr;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard A. Swanson;/people/person/education./education/education/degree;Bachelor of Arts;5
Katy Schimert;/people/person/education./education/education/degree;Bachelor of Arts;3
Frederic Palen Schoonmaker;/people/person/education./education/education/degree;Bachelor of Arts;5
Gayle McKeachnie;/people/person/education./education/education/degree;Bachelor of Arts;5
Ronald A. Guzman;/people/person/education./education/education/degree;Bachelor of Arts;5
William N. Hebert;/people/person/education./education/education/degree;Bachelor of Arts;5
David L. Heymann;/people/person/education./education/education/degree;Bachelor of Arts;5
Carl Emil Schorske;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert J. O'Conor, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Carl J. Couch;/people/person/education./education/education/degree;Bachelor of Arts;5
Peter Worthington;/people/person/education./education/education/degree;Bachelor of Arts;5
Joseph Edward Stevens, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Edward C. DuMont;/people/person/education./education/education/degree;Bachelor of Arts;5
Gerhard Gesell;/people/person/education./education/education/degree;Bachelor of Arts;5
Leocadia I. Zak, Director, U.S. Trade and Development Agency;/people/person/education./education/education/degree;Bachelor of Arts;5
Solomon Grayzel;/people/person/education./education/education/degree;Bachelor of Arts;5
David Nuffer;/people/person/education./education/education/degree;Bachelor of Arts;5
William Horsley Orrick, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Paul McHale;/people/person/education./education/education/degree;Bachelor of Arts;5
Carolyn Collette;/people/person/education./education/education/degree;Bachelor of Arts;5
William Alexander Robb Kerr;/people/person/education./education/education/degree;Bachelor of Arts;5
Stephen M. Reasoner;/people/person/education./education/education/degree;Bachelor of Arts;5
Thomas C. Egan;/people/person/education./education/education/degree;Bachelor of Arts;5
John William Ditter, Jr.;/people/person/education./education/education/degree;Bachelor of Arts;5
Frederick J. Kapala;/people/person/education./education/education/degree;Bachelor of Arts;5
Richard Rodriguez;/people/person/education./education/education/degree;Bachelor of Arts;5
Daniel Gordis;/people/person/education./education/education/degree;Bachelor of Arts;5
Anthony A. Alaimo;/people/person/education./education/education/degree;Bachelor of Arts;5
Albert Mamary;/people/person/education./education/education/degree;Bachelor of Arts;-1
Albert Leisenring Watson;/people/person/education./education/education/degree;Bachelor of Arts;5
Chris Hartcher;/people/person/education./education/education/degree;Bachelor of Arts;-1
William Thomas White;/people/person/education./education/education/degree;Bachelor of Arts;5
Robert A. Corrigan;/people/person/education./education/education/degree;Bachelor of Arts;5
