subject;predicate;object;score
Gilbert Velasquez;/people/person/place_of_birth;Seguin;5
Henry Hall (cricketer);/people/person/place_of_birth;Sheffield;5
Nurcholish Madjid;/people/person/place_of_birth;Jombang;3
Lars Gabriel von Haartman;/people/person/place_of_birth;Turku;5
Nina Repeta;/people/person/place_of_birth;Shelby;5
Francis X. Cretzmeyer;/people/person/place_of_birth;Emmetsburg;5
Henry Lovell;/people/person/place_of_birth;Coaticook;-3
Clive Malcolm Griffiths;/people/person/place_of_birth;United Kingdom;5
Thomas Oakley Anderson;/people/person/place_of_birth;Sussex County;5
Francis Davis;/people/person/place_of_birth;Philadelphia;5
Oskar Simon;/people/person/place_of_birth;Berlin;-5
John Guyse;/people/person/place_of_birth;Hertford;5
Nicolas Deschamps (writer);/people/person/place_of_birth;Villefranche-sur-Saône;5
George Smalridge;/people/person/place_of_birth;Lichfield;5
George Wright (lawyer);/people/person/place_of_birth;Clonakilty;-5
Arnela Odžaković;/people/person/place_of_birth;Trebinje;5
Artur de Sousa Pinga;/people/person/place_of_birth;Funchal;5
Walter Bergman;/people/person/place_of_birth;Königsberg;5
George Stone (politician);/people/person/place_of_birth;Fulham;5
André Filho;/people/person/place_of_birth;Rio de Janeiro;1
Edward Tessier;/people/person/place_of_birth;Pomona;5
Jeff Morris (Washington politician);/people/person/place_of_birth;San Juan Islands;-3
Max Ferguson (painter);/people/person/place_of_birth;New York City;5
Betty Zanolli Fabila;/people/person/place_of_birth;Mexico City;5
Alan Welsh;/people/person/place_of_birth;Edinburgh;5
Ernest Lafont;/people/person/place_of_birth;Lyon;5
Olive San Louie Anderson;/people/person/place_of_birth;Lexington;-3
François Ozenda;/people/person/place_of_birth;Marseille;5
Ángel Garma;/people/person/place_of_birth;Spain;5
Richard Bilby;/people/person/place_of_birth;Tucson;5
Dennis Schmitz;/people/person/place_of_birth;Dubuque;5
Carl Moritz Gottsche;/people/person/place_of_birth;Altona;1
Małgorzata Olejnik;/people/person/place_of_birth;Kielce;5
Carl Herman Kraeling;/people/person/place_of_birth;Brooklyn;5
Vasily Vladimirovich Petrov;/people/person/place_of_birth;Oboyan;5
Howard Grant (boxer);/people/person/place_of_birth;Saint Ann Parish;5
John J. Dunnigan;/people/person/place_of_birth;New York City;5
Roberto de Miranda;/people/person/place_of_birth;Camagüey;5
Colin Pitchfork;/people/person/place_of_birth;Bristol;-1
Yuri Moiseev;/people/person/place_of_birth;Penza;5
Rebecca Pronsky;/people/person/place_of_birth;Brooklyn;5
William Richards (minister);/people/person/place_of_birth;Haverfordwest;-5
Luigi Attademo;/people/person/place_of_birth;Naples;5
Paolo Savona;/people/person/place_of_birth;Cagliari;5
Ken Niles;/people/person/place_of_birth;Livingston;5
Joshua Toulmin Smith;/people/person/place_of_birth;Birmingham;5
Sonny Emory;/people/person/place_of_birth;Atlanta;-3
Jan Andrzej Morsztyn;/people/person/place_of_birth;Kraków;-5
John Berry (cricketer);/people/person/place_of_birth;Dalton;-1
John Paul Scott;/people/person/place_of_birth;Leitchfield;1
Surinder Khanna;/people/person/place_of_birth;Delhi;5
Marty Radovanic;/people/person/place_of_birth;Cleveland;5
Paulo Pancatuccio;/people/person/place_of_birth;Volterra;5
Kong Bai Ji;/people/person/place_of_birth;Shanghai;5
Carol Schwartz;/people/person/place_of_birth;Greenville;-3
Guy de Cointet;/people/person/place_of_birth;Paris;5
R. Wayne Gardner;/people/person/place_of_birth;Quincy;-5
Johny Joseph (news anchor);/people/person/place_of_birth;Gonaïves;5
Charles Alford;/people/person/place_of_birth;Somerset;5
Henry Spencer, 1st Earl of Sunderland;/people/person/place_of_birth;Althorp;5
Alfred Downward;/people/person/place_of_birth;Melbourne;5
Sandra Smith (reporter);/people/person/place_of_birth;Wheaton;-1
Joshua Watson;/people/person/place_of_birth;Tower Hill;5
Rich Baum;/people/person/place_of_birth;Middletown;-5
Joseph Kentenich;/people/person/place_of_birth;Cologne;-5
Antonio Ciacca;/people/person/place_of_birth;Germany;5
Zahoor Elahi;/people/person/place_of_birth;Sahiwal;5
Charles B. G. Murphy;/people/person/place_of_birth;Suffolk;-5
Elizabeth Douglas-Hamilton, Duchess of Hamilton and Brandon;/people/person/place_of_birth;Alnwick Castle;5
Paul Mooney (writer);/people/person/place_of_birth;Washington, D.C.;5
Brad Drewett;/people/person/place_of_birth;Maclean;5
Norma West;/people/person/place_of_birth;Cape Town;5
Francis Dunlavy;/people/person/place_of_birth;Virginia;5
Wang Beiming;/people/person/place_of_birth;Shanghai;5
Mike Riggs;/people/person/place_of_birth;Ozarks;-1
Nasim Khaksar;/people/person/place_of_birth;Abadan;5
John M. Spalding;/people/person/place_of_birth;Owensboro;-3
Raffaele Scalese;/people/person/place_of_birth;Naples;5
Thiru. V. Kalyanasundaram;/people/person/place_of_birth;Chennai;-5
Stefan Hodgetts;/people/person/place_of_birth;Bromsgrove;5
William Terrell;/people/person/place_of_birth;Fairfax County;5
Horace Wheaton;/people/person/place_of_birth;New Milford;5
Geoffrey Alderman;/people/person/place_of_birth;Middlesex;5
Pierre Sabatie;/people/person/place_of_birth;France;5
Mauricio Alejo;/people/person/place_of_birth;Mexico City;5
Thomas Ellis (clergyman died 1673);/people/person/place_of_birth;Criccieth;-5
Lazar Salomowitch Minor;/people/person/place_of_birth;Vilnius;-3
Tom French (poet);/people/person/place_of_birth;Kilkenny;5
Johan Erhard Areschoug;/people/person/place_of_birth;Gothenburg;-5
Kerry Blewett;/people/person/place_of_birth;Penzance;5
Walid Soliman;/people/person/place_of_birth;Tunis;5
Samuel Finney (painter);/people/person/place_of_birth;Wilmslow;5
Nathalie De Vos;/people/person/place_of_birth;Ghent;5
Manuel Fernandes (footballer born 1951);/people/person/place_of_birth;Sarilhos Pequenos;5
John Randall Walker;/people/person/place_of_birth;Blackshear;-5
Stephen Smith (educationalist);/people/person/place_of_birth;Shepshed;5
Auguste Georges Darzens;/people/person/place_of_birth;Moscow;5
Egil Fredriksen;/people/person/place_of_birth;Drammen;5
Edward White Patterson;/people/person/place_of_birth;Pittsburg;5
Kim Kuusi;/people/person/place_of_birth;Helsinki;5
Magdaléna Hajóssyová;/people/person/place_of_birth;Bratislava;5
James Brown Scott;/people/person/place_of_birth;Kincardine;5
Joelle Wallach;/people/person/place_of_birth;New York;5
Gordon Stevenson;/people/person/place_of_birth;Dublin;-1
