subject,predicate,object,score,path
Paul Carter Harrison,/people/person/place_of_birth,New York City,5,Paul Carter Harrison>United States>American Revolution>New York City
George Waggner,/people/person/place_of_birth,New York City,5,George Waggner>California>New York City
Stephen Blauner,/people/person/place_of_birth,New York City,1,Stephen Blauner>Bobby Darin>California>New York City
Stewart L. Woodford,/people/person/place_of_birth,New York City,5,Stewart L. Woodford>Columbia University>New York City
Edward Weinfeld,/people/person/place_of_birth,New York City,5,Edward Weinfeld>United States District Court for the Southern District of New York>The Bronx>New York City
Zack O'Malley Greenburg,/people/person/place_of_birth,New York City,5,Zack O'Malley Greenburg>Yale College>Connecticut>New York City
William Starr Miller II,/people/person/place_of_birth,New York City,5,"William Starr Miller II>The New York Times>Buffalo, New York>New York City"
Frank Hotaling,/people/person/place_of_birth,New York City,5,Frank Hotaling>Academy Awards>New York City
Andrew Hussey Allen,/people/person/place_of_birth,New York City,5,Andrew Hussey Allen>United States>American Revolution>New York City
Stanley Cooperman,/people/person/place_of_birth,New York City,5,Stanley Cooperman>Canadians>Canadian English>New York City
Allan G. Brodie,/people/person/place_of_birth,New York City,5,Allan G. Brodie>United States>American Revolution>New York City
Jock Gaynor,/people/person/place_of_birth,New York City,-5,Jock Gaynor>California>New York City
Amanda Green,/people/person/place_of_birth,New York City,5,Amanda Green>Atlanta>New York City
David Eisenbud,/people/person/place_of_birth,New York City,1,David Eisenbud>New York (state)>Arabic>New York City
Edwin Lester,/people/person/place_of_birth,New York City,5,"Edwin Lester>Beverly Hills, California>California>New York City"
Ranee Lee,/people/person/place_of_birth,New York City,5,Ranee Lee>Brooklyn>Bridge>New York City
Betty Warren,/people/person/place_of_birth,New York City,-1,Betty Warren>British people>American Revolutionary War>New York City
John Henry Haaren,/people/person/place_of_birth,New York City,5,John Henry Haaren>Columbia University>New York City
Tanya Vidal,/people/person/place_of_birth,New York City,1,Tanya Vidal>Puerto Rico>American English>New York City
Abe Goldstein,/people/person/place_of_birth,New York City,5,"Abe Goldstein>New York, New York>The Bronx>New York City"
Florence Nightingale Levy,/people/person/place_of_birth,New York City,5,Florence Nightingale Levy>Art History>Capitalism>New York City
John Clinton Gray,/people/person/place_of_birth,New York City,5,"John Clinton Gray>The New York Times>Buffalo, New York>New York City"
Bayard Clarke,/people/person/place_of_birth,New York City,5,"Bayard Clarke>The New York Times>Buffalo, New York>New York City"
Sondra Lipton,/people/person/place_of_birth,New York City,-1,Sondra Lipton>Broadway theater>Broadway (Manhattan)>New York City
Steve Kaplan,/people/person/place_of_birth,New York City,1,Steve Kaplan (professor)>Documentary film>New York City
Edmund Milton Holland,/people/person/place_of_birth,New York City,5,Edmund Milton Holland>United States>American Revolution>New York City
Charles Henry Webb,/people/person/place_of_birth,New York City,1,"Charles Henry Webb>New York, New York>The Bronx>New York City"
Sara Berman (philanthropist),/people/person/place_of_birth,New York City,5,Sara Berman (philanthropist)>Upper East Side>City>New York City
Sidney Jonas Budnick,/people/person/place_of_birth,New York City,5,Sidney Jonas Budnick>De Stijl>Blue>New York City
Thomas F. Burchill,/people/person/place_of_birth,New York City,3,"Thomas F. Burchill>The New York Times>Buffalo, New York>New York City"
Harold Jacoby,/people/person/place_of_birth,New York City,5,Harold Jacoby>Columbia University>New York City
Frederic Taber Cooper,/people/person/place_of_birth,New York City,5,Frederic Taber Cooper>Columbia University>New York City
Daniel Pagano,/people/person/place_of_birth,New York City,1,Daniel Pagano>The Bronx>New York City
James Sibley Watson,/people/person/place_of_birth,New York City,-1,James Sibley Watson>Margaret C. Anderson>Chicago>New York City
Jacob Mishler,/people/person/place_of_birth,New York City,5,Jacob Mishler>Dwight D. Eisenhower>New York City
Eric Chester,/people/person/place_of_birth,New York City,5,Eric Chester>United States>American Revolution>New York City
Anahid Ajemian,/people/person/place_of_birth,New York City,1,Anahid Ajemian>Columbia University>New York City
Mike Siegel,/people/person/place_of_birth,New York City,-5,Mike Siegel>Radio personality>Disc jockey>New York City
Joan Mahoney,/people/person/place_of_birth,New York City,5,Joan Mahoney>Detroit>New York City
John Boylan (record producer),/people/person/place_of_birth,New York City,5,John Boylan (record producer)>New York (state)>Arabic>New York City
Lee Delano,/people/person/place_of_birth,New York City,3,Lee Delano>Joanne Woodward>Academy Awards>New York City
Gregory McMahon,/people/person/place_of_birth,New York City,5,Gregory McMahon>United States House of Representatives>Delaware>New York City
Sylvia Pressler,/people/person/place_of_birth,New York City,5,Sylvia Pressler>New Jersey>Delaware>New York City
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
